source_column,series_name,region,subregion,product,metric,unit,period_type
WDGSTP31,"weekly Gulf Coast (PADD 3) Ending Stocks of Distillate Fuel Oil, Greater Than 500 ppm Sulfur",Gulf Coast,,"(PADD 3) Ending Stocks of Distillate Fuel Oil, Greater Than 500 ppm Sulfur","(PADD 3) Ending Stocks of Distillate Fuel Oil, Greater Than 500 ppm Sulfur",Thousand Barrels,weekly
WDGSTP41,"weekly Rocky Mountain (PADD 4) Ending Stocks of Distillate Fuel Oil, Greater Than 500 ppm Sulfur",Rocky Mountain,,"(PADD 4) Ending Stocks of Distillate Fuel Oil, Greater Than 500 ppm Sulfur","(PADD 4) Ending Stocks of Distillate Fuel Oil, Greater Than 500 ppm Sulfur",Thousand Barrels,weekly
WDGSTP51,"weekly West Coast (PADD 5) Ending Stocks of Distillate Fuel Oil, Greater Than 500 ppm Sulfur",West Coast,,"(PADD 5) Ending Stocks of Distillate Fuel Oil, Greater Than 500 ppm Sulfur","(PADD 5) Ending Stocks of Distillate Fuel Oil, Greater Than 500 ppm Sulfur",Thousand Barrels,weekly
WDIST1A1,weekly PADD 1 New England (A) Ending Stocks of Distillate Fuel Oil,PADD 1,,New England (A) Ending Stocks of Distillate Fuel Oil,New England (A) Ending Stocks of Distillate Fuel Oil,Thousand Barrels,weekly
WDIST1B1,weekly PADD 1 Central Atlantic (B) Ending Stocks of Distillate Fuel Oil,PADD 1,,Central Atlantic (B) Ending Stocks of Distillate Fuel Oil,Central Atlantic (B) Ending Stocks of Distillate Fuel Oil,Thousand Barrels,weekly
WDIST1C1,weekly PADD 1 Lower Atlantic (C) Ending Stocks of Distillate Fuel Oil,PADD 1,,Lower Atlantic (C) Ending Stocks of Distillate Fuel Oil,Lower Atlantic (C) Ending Stocks of Distillate Fuel Oil,Thousand Barrels,weekly
WDISTP11,weekly East Coast (PADD 1) Ending Stocks of Distillate Fuel Oil,East Coast,,(PADD 1) Ending Stocks of Distillate Fuel Oil,(PADD 1) Ending Stocks of Distillate Fuel Oil,Thousand Barrels,weekly
WDISTP21,weekly Midwest (PADD 2) Ending Stocks of Distillate Fuel Oil,Midwest,,(PADD 2) Ending Stocks of Distillate Fuel Oil,(PADD 2) Ending Stocks of Distillate Fuel Oil,Thousand Barrels,weekly
WDISTP31,weekly Gulf Coast (PADD 3) Ending Stocks of Distillate Fuel Oil,Gulf Coast,,(PADD 3) Ending Stocks of Distillate Fuel Oil,(PADD 3) Ending Stocks of Distillate Fuel Oil,Thousand Barrels,weekly
WDISTP41,weekly Rocky Mountain (PADD 4) Ending Stocks of Distillate Fuel Oil,Rocky Mountain,,(PADD 4) Ending Stocks of Distillate Fuel Oil,(PADD 4) Ending Stocks of Distillate Fuel Oil,Thousand Barrels,weekly
WDISTP51,weekly West Coast (PADD 5) Ending Stocks of Distillate Fuel Oil,West Coast,,(PADD 5) Ending Stocks of Distillate Fuel Oil,(PADD 5) Ending Stocks of Distillate Fuel Oil,Thousand Barrels,weekly
WKJSTP11,weekly East Coast (PADD 1) Ending Stocks of Kerosene-Type Jet Fuel,East Coast,,(PADD 1) Ending Stocks of Kerosene-Type Jet Fuel,(PADD 1) Ending Stocks of Kerosene-Type Jet Fuel,Thousand Barrels,weekly
WKJSTP21,weekly Midwest (PADD 2) Ending Stocks of Kerosene-Type Jet Fuel,Midwest,,(PADD 2) Ending Stocks of Kerosene-Type Jet Fuel,(PADD 2) Ending Stocks of Kerosene-Type Jet Fuel,Thousand Barrels,weekly
WKJSTP31,weekly Gulf Coast (PADD 3) Ending Stocks of Kerosene-Type Jet Fuel,Gulf Coast,,(PADD 3) Ending Stocks of Kerosene-Type Jet Fuel,(PADD 3) Ending Stocks of Kerosene-Type Jet Fuel,Thousand Barrels,weekly
WKJSTP41,weekly Rocky Mountain (PADD 4) Ending Stocks of Kerosene-Type Jet Fuel,Rocky Mountain,,(PADD 4) Ending Stocks of Kerosene-Type Jet Fuel,(PADD 4) Ending Stocks of Kerosene-Type Jet Fuel,Thousand Barrels,weekly
WKJSTP51,weekly West Coast (PADD 5) Ending Stocks of Kerosene-Type Jet Fuel,West Coast,,(PADD 5) Ending Stocks of Kerosene-Type Jet Fuel,(PADD 5) Ending Stocks of Kerosene-Type Jet Fuel,Thousand Barrels,weekly
WPLSTUS1,weekly U.S. Propylene Nonfuel Use Stocks at Bulk Terminals,U.S.,,Propylene Nonfuel Use Stocks at Bulk Terminals,Propylene Nonfuel Use Stocks at Bulk Terminals,Thousand Barrels,weekly
WPRST1A1,weekly PADD 1 New England (A) Propane and Propylene Ending Stocks Excluding Propylene at Terminal,PADD 1,,New England (A) Propane and Propylene Ending Stocks Excluding Propylene at Terminal,New England (A) Propane and Propylene Ending Stocks Excluding Propylene at Terminal,Thousand Barrels,weekly
WPRST1B1,weekly PADD 1 Central Atlantic (B) Propane and Propylene Ending Stocks Excluding Propylene at Terminal,PADD 1,,Central Atlantic (B) Propane and Propylene Ending Stocks Excluding Propylene at Terminal,Central Atlantic (B) Propane and Propylene Ending Stocks Excluding Propylene at Terminal,Thousand Barrels,weekly
WPRST1C1,weekly PADD 1 Lower Atlantic (C) Propane and Propylene Ending Stocks Excluding Propylene at Terminal,PADD 1,,Lower Atlantic (C) Propane and Propylene Ending Stocks Excluding Propylene at Terminal,Lower Atlantic (C) Propane and Propylene Ending Stocks Excluding Propylene at Terminal,Thousand Barrels,weekly
WPRSTP11,weekly East Coast (PADD 1) Propane and Propylene Ending Stocks Excluding Propylene at Terminal,East Coast,,(PADD 1) Propane and Propylene Ending Stocks Excluding Propylene at Terminal,(PADD 1) Propane and Propylene Ending Stocks Excluding Propylene at Terminal,Thousand Barrels,weekly
WPRSTP21,weekly Midwest (PADD 2) Propane and Propylene Ending Stocks Excluding Propylene at Terminal,Midwest,,(PADD 2) Propane and Propylene Ending Stocks Excluding Propylene at Terminal,(PADD 2) Propane and Propylene Ending Stocks Excluding Propylene at Terminal,Thousand Barrels,weekly
WPRSTP31,weekly Gulf Coast (PADD 3) Propane and Propylene Ending Stocks Excluding Propylene at Terminal,Gulf Coast,,(PADD 3) Propane and Propylene Ending Stocks Excluding Propylene at Terminal,(PADD 3) Propane and Propylene Ending Stocks Excluding Propylene at Terminal,Thousand Barrels,weekly
WPRST_R4N5_1,weekly PADD 4 and PADD 5 Propane and Propylene Ending Stocks Excluding Propylene at Terminal,PADD 4,,and PADD 5 Propane and Propylene Ending Stocks Excluding Propylene at Terminal,and PADD 5 Propane and Propylene Ending Stocks Excluding Propylene at Terminal,Thousand Barrels,weekly
WREST1A1,weekly PADD 1 New England (A) Ending Stocks of Residual Fuel Oil,PADD 1,,New England (A) Ending Stocks of Residual Fuel Oil,New England (A) Ending Stocks of Residual Fuel Oil,Thousand Barrels,weekly
WREST1B1,weekly PADD 1 Central Atlantic (B) Ending Stocks of Residual Fuel Oil,PADD 1,,Central Atlantic (B) Ending Stocks of Residual Fuel Oil,Central Atlantic (B) Ending Stocks of Residual Fuel Oil,Thousand Barrels,weekly
WREST1C1,weekly PADD 1 Lower Atlantic (C) Ending Stocks of Residual Fuel Oil,PADD 1,,Lower Atlantic (C) Ending Stocks of Residual Fuel Oil,Lower Atlantic (C) Ending Stocks of Residual Fuel Oil,Thousand Barrels,weekly
WRESTP11,weekly East Coast (PADD 1) Ending Stocks of Residual Fuel Oil,East Coast,,(PADD 1) Ending Stocks of Residual Fuel Oil,(PADD 1) Ending Stocks of Residual Fuel Oil,Thousand Barrels,weekly
WRESTP21,weekly Midwest (PADD 2) Ending Stocks of Residual Fuel Oil,Midwest,,(PADD 2) Ending Stocks of Residual Fuel Oil,(PADD 2) Ending Stocks of Residual Fuel Oil,Thousand Barrels,weekly
WRESTP31,weekly Gulf Coast (PADD 3) Ending Stocks of Residual Fuel Oil,Gulf Coast,,(PADD 3) Ending Stocks of Residual Fuel Oil,(PADD 3) Ending Stocks of Residual Fuel Oil,Thousand Barrels,weekly
WRESTP41,weekly Rocky Mountain (PADD 4) Ending Stocks of Residual Fuel Oil,Rocky Mountain,,(PADD 4) Ending Stocks of Residual Fuel Oil,(PADD 4) Ending Stocks of Residual Fuel Oil,Thousand Barrels,weekly
WRESTP51,weekly West Coast (PADD 5) Ending Stocks of Residual Fuel Oil,West Coast,,(PADD 5) Ending Stocks of Residual Fuel Oil,(PADD 5) Ending Stocks of Residual Fuel Oil,Thousand Barrels,weekly
W_EPLLP0C_SKB_NUS_MBBL,"weekly U.S. Ending Stocks of Propane, fractionated and ready for sale",U.S.,,"Ending Stocks of Propane, fractionated and ready for sale","Ending Stocks of Propane, fractionated and ready for sale",Thousand Barrels,weekly
W_EPLLP0C_SKB_R10_MBBL,"weekly East Coast (PADD 1) Ending Stocks of Propane, fractionated and ready for sale",East Coast,,"(PADD 1) Ending Stocks of Propane, fractionated and ready for sale","(PADD 1) Ending Stocks of Propane, fractionated and ready for sale",Thousand Barrels,weekly
W_EPLLP0C_SKB_R1X_MBBL,"weekly PADD 1 New England (A) Ending Stocks of Propane, fractionated and ready for sale",PADD 1,,"New England (A) Ending Stocks of Propane, fractionated and ready for sale","New England (A) Ending Stocks of Propane, fractionated and ready for sale",Thousand Barrels,weekly
W_EPLLP0C_SKB_R1Y_MBBL,"weekly PADD 1 Central Atlantic (B) Ending Stocks of Propane, fractionated and ready for sale",PADD 1,,"Central Atlantic (B) Ending Stocks of Propane, fractionated and ready for sale","Central Atlantic (B) Ending Stocks of Propane, fractionated and ready for sale",Thousand Barrels,weekly
W_EPLLP0C_SKB_R1Z_MBBL,"weekly PADD 1 Lower Atlantic (C) Ending Stocks of Propane, fractionated and ready for sale",PADD 1,,"Lower Atlantic (C) Ending Stocks of Propane, fractionated and ready for sale","Lower Atlantic (C) Ending Stocks of Propane, fractionated and ready for sale",Thousand Barrels,weekly
W_EPLLP0C_SKB_R20_MBBL,"weekly Midwest (PADD 2) Ending Stocks of Propane, fractionated and ready for sale",Midwest,,"(PADD 2) Ending Stocks of Propane, fractionated and ready for sale","(PADD 2) Ending Stocks of Propane, fractionated and ready for sale",Thousand Barrels,weekly
W_EPLLP0C_SKB_R30_MBBL,"weekly Gulf Coast (PADD 3) Ending Stocks of Propane, fractionated and ready for sale",Gulf Coast,,"(PADD 3) Ending Stocks of Propane, fractionated and ready for sale","(PADD 3) Ending Stocks of Propane, fractionated and ready for sale",Thousand Barrels,weekly
W_EPLLP0C_SKB_R40_MBBL,"weekly Rocky Mountain (PADD 4) Ending Stocks of Propane, fractionated and ready for sale",Rocky Mountain,,"(PADD 4) Ending Stocks of Propane, fractionated and ready for sale","(PADD 4) Ending Stocks of Propane, fractionated and ready for sale",Thousand Barrels,weekly
W_EPLLP0C_SKB_R50_MBBL,"weekly West Coast (PADD 5) Ending Stocks of Propane, fractionated and ready for sale",West Coast,,"(PADD 5) Ending Stocks of Propane, fractionated and ready for sale","(PADD 5) Ending Stocks of Propane, fractionated and ready for sale",Thousand Barrels,weekly
WBCIMUS2,weekly U.S. Imports of Gasoline Blending Components,U.S.,,Imports of Gasoline Blending Components,Imports of Gasoline Blending Components,Thousand Barrels per Day,weekly
WCEIMP12,weekly East Coast (PADD 1) Commercial Crude Oil Imports Excluding SPR,East Coast,,(PADD 1) Commercial Crude Oil Imports Excluding SPR,(PADD 1) Commercial Crude Oil Imports Excluding SPR,Thousand Barrels per Day,weekly
WCEIMP22,weekly Midwest (PADD 2) Commercial Crude Oil Imports Excluding SPR,Midwest,,(PADD 2) Commercial Crude Oil Imports Excluding SPR,(PADD 2) Commercial Crude Oil Imports Excluding SPR,Thousand Barrels per Day,weekly
WCEIMP32,weekly Gulf Coast (PADD 3) Commercial Crude Oil Imports Excluding SPR,Gulf Coast,,(PADD 3) Commercial Crude Oil Imports Excluding SPR,(PADD 3) Commercial Crude Oil Imports Excluding SPR,Thousand Barrels per Day,weekly
WCEIMP42,weekly Rocky Mountain (PADD 4) Commercial Crude Oil Imports Excluding SPR,Rocky Mountain,,(PADD 4) Commercial Crude Oil Imports Excluding SPR,(PADD 4) Commercial Crude Oil Imports Excluding SPR,Thousand Barrels per Day,weekly
WCEIMP52,weekly West Coast (PADD 5) Commercial Crude Oil Imports Excluding SPR,West Coast,,(PADD 5) Commercial Crude Oil Imports Excluding SPR,(PADD 5) Commercial Crude Oil Imports Excluding SPR,Thousand Barrels per Day,weekly
WCEIMUS2,weekly U.S. Commercial Crude Oil Imports Excluding SPR,U.S.,,Commercial Crude Oil Imports Excluding SPR,Commercial Crude Oil Imports Excluding SPR,Thousand Barrels per Day,weekly
WCREXUS2,weekly U.S. Exports of Crude Oil,U.S.,,Exports of Crude Oil,Exports of Crude Oil,Thousand Barrels per Day,weekly
WCRNTUS2,weekly U.S. Net Imports of Crude Oil,U.S.,,Net Imports of Crude Oil,Net Imports of Crude Oil,Thousand Barrels per Day,weekly
WCSIMUS2,weekly U.S. Crude Oil Imports by SPR,U.S.,,Crude Oil Imports by SPR,Crude Oil Imports by SPR,Thousand Barrels per Day,weekly
WD0IM_NUS-Z00_2,"weekly U.S. Imports of Distillate Fuel Oil, 0 to 15 ppm Sulfur",U.S.,,"Imports of Distillate Fuel Oil, 0 to 15 ppm Sulfur","Imports of Distillate Fuel Oil, 0 to 15 ppm Sulfur",Thousand Barrels per Day,weekly
WD1IM_NUS-Z00_2,"weekly U.S. Imports of Distillate Fuel Oil, Greater than 15 to 500 ppm Sulfur",U.S.,,"Imports of Distillate Fuel Oil, Greater than 15 to 500 ppm Sulfur","Imports of Distillate Fuel Oil, Greater than 15 to 500 ppm Sulfur",Thousand Barrels per Day,weekly
WD2IM_NUS-Z00_2,"weekly U.S. Imports of Distillate Fuel Oil, Greater than 500 to 2000 ppm Sulfur",U.S.,,"Imports of Distillate Fuel Oil, Greater than 500 to 2000 ppm Sulfur","Imports of Distillate Fuel Oil, Greater than 500 to 2000 ppm Sulfur",Thousand Barrels per Day,weekly
WD3IM_NUS-Z00_2,"weekly U.S. Imports of Distillate Fuel Oil, Greater than 2000 ppm Sulfur",U.S.,,"Imports of Distillate Fuel Oil, Greater than 2000 ppm Sulfur","Imports of Distillate Fuel Oil, Greater than 2000 ppm Sulfur",Thousand Barrels per Day,weekly
WDIIMUS2,weekly U.S. Imports of Distillate Fuel Oil,U.S.,,Imports of Distillate Fuel Oil,Imports of Distillate Fuel Oil,Thousand Barrels per Day,weekly
WG4IM_NUS-Z00_2,weekly U.S. Imports of Conventional Motor Gasoline,U.S.,,Imports of Conventional Motor Gasoline,Imports of Conventional Motor Gasoline,Thousand Barrels per Day,weekly
WGRIMUS2,weekly U.S. Imports of Reformulated Motor Gasoline,U.S.,,Imports of Reformulated Motor Gasoline,Imports of Reformulated Motor Gasoline,Thousand Barrels per Day,weekly
WGTIMUS2,weekly U.S. Imports of Total Gasoline,U.S.,,Imports of Total Gasoline,Imports of Total Gasoline,Thousand Barrels per Day,weekly
WKJIMUS2,weekly U.S. Imports of Kerosene-Type Jet Fuel,U.S.,,Imports of Kerosene-Type Jet Fuel,Imports of Kerosene-Type Jet Fuel,Thousand Barrels per Day,weekly
WPRIM_NUS-Z00_2,weekly U.S. Imports of Propane and Propylene,U.S.,,Imports of Propane and Propylene,Imports of Propane and Propylene,Thousand Barrels per Day,weekly
WREIMUS2,weekly U.S. Imports of Residual Fuel Oil,U.S.,,Imports of Residual Fuel Oil,Imports of Residual Fuel Oil,Thousand Barrels per Day,weekly
WRPEXUS2,weekly U.S. Exports of Total Petroleum Products,U.S.,,Exports of Total Petroleum Products,Exports of Total Petroleum Products,Thousand Barrels per Day,weekly
WRPIMUS2,weekly U.S. Imports of Total Petroleum Products,U.S.,,Imports of Total Petroleum Products,Imports of Total Petroleum Products,Thousand Barrels per Day,weekly
WRPNTUS2,weekly U.S. Net Imports of Total Petroleum Products,U.S.,,Net Imports of Total Petroleum Products,Net Imports of Total Petroleum Products,Thousand Barrels per Day,weekly
WTTEXUS2,weekly U.S. Exports of Crude Oil and Petroleum Products,U.S.,,Exports of Crude Oil and Petroleum Products,Exports of Crude Oil and Petroleum Products,Thousand Barrels per Day,weekly
WTTIMUS2,weekly U.S. Imports of Crude Oil and Petroleum Products,U.S.,,Imports of Crude Oil and Petroleum Products,Imports of Crude Oil and Petroleum Products,Thousand Barrels per Day,weekly
WTTNTUS2,weekly U.S. Net Imports of Crude Oil and Petroleum Products,U.S.,,Net Imports of Crude Oil and Petroleum Products,Net Imports of Crude Oil and Petroleum Products,Thousand Barrels per Day,weekly
WTXIM_R10-Z00_2,weekly East Coast (PADD 1) Imports of Total Petroleum Products,East Coast,,(PADD 1) Imports of Total Petroleum Products,(PADD 1) Imports of Total Petroleum Products,Thousand Barrels per Day,weekly
WTXIM_R20-Z00_2,weekly Midwest (PADD 2) Imports of Total Petroleum Products,Midwest,,(PADD 2) Imports of Total Petroleum Products,(PADD 2) Imports of Total Petroleum Products,Thousand Barrels per Day,weekly
WTXIM_R30-Z00_2,weekly Gulf Coast (PADD 3) Imports of Total Petroleum Products,Gulf Coast,,(PADD 3) Imports of Total Petroleum Products,(PADD 3) Imports of Total Petroleum Products,Thousand Barrels per Day,weekly
WTXIM_R40-Z00_2,weekly Rocky Mountain (PADD 4) Imports of Total Petroleum Products,Rocky Mountain,,(PADD 4) Imports of Total Petroleum Products,(PADD 4) Imports of Total Petroleum Products,Thousand Barrels per Day,weekly
WTXIM_R50-Z00_2,weekly West Coast (PADD 5) Imports of Total Petroleum Products,West Coast,,(PADD 5) Imports of Total Petroleum Products,(PADD 5) Imports of Total Petroleum Products,Thousand Barrels per Day,weekly
W_EPC0_IMU_NUS-Z00_MBBLD,weekly U.S. Crude Oil Imports for SPR by Others,U.S.,,Crude Oil Imports for SPR by Others,Crude Oil Imports for SPR by Others,Thousand Barrels per Day,weekly
W_EPOOXE_IM0_NUS-Z00_MBBLD,weekly U.S. Imports of Fuel Ethanol,U.S.,,Imports of Fuel Ethanol,Imports of Fuel Ethanol,Thousand Barrels per Day,weekly
W_EPPO6_IM0_NUS-Z00_MBBLD,weekly U.S. Imports of Other Oils (Excluding Fuel Ethanol),U.S.,,Imports of Other Oils (Excluding Fuel Ethanol),Imports of Other Oils (Excluding Fuel Ethanol),Thousand Barrels per Day,weekly
W_EPC0_IM0_NUS-NBR_MBBLD,weekly U.S. Imports from Brazil of Crude Oil,U.S.,,Imports from Brazil of Crude Oil,Imports from Brazil of Crude Oil,Thousand Barrels per Day,weekly
W_EPC0_IM0_NUS-NCA_MBBLD,weekly U.S. Imports from Canada of Crude Oil,U.S.,,Imports from Canada of Crude Oil,Imports from Canada of Crude Oil,Thousand Barrels per Day,weekly
W_EPC0_IM0_NUS-NCO_MBBLD,weekly U.S. Imports from Colombia of Crude Oil,U.S.,,Imports from Colombia of Crude Oil,Imports from Colombia of Crude Oil,Thousand Barrels per Day,weekly
W_EPC0_IM0_NUS-NEC_MBBLD,weekly U.S. Imports from Ecuador of Crude Oil,U.S.,,Imports from Ecuador of Crude Oil,Imports from Ecuador of Crude Oil,Thousand Barrels per Day,weekly
W_EPC0_IM0_NUS-NIZ_MBBLD,weekly U.S. Imports from Iraq of Crude Oil,U.S.,,Imports from Iraq of Crude Oil,Imports from Iraq of Crude Oil,Thousand Barrels per Day,weekly
W_EPC0_IM0_NUS-NLY_MBBLD,weekly U.S. Imports from Libya of Crude Oil,U.S.,,Imports from Libya of Crude Oil,Imports from Libya of Crude Oil,Thousand Barrels per Day,weekly
W_EPC0_IM0_NUS-NMX_MBBLD,weekly U.S. Imports from Mexico of Crude Oil,U.S.,,Imports from Mexico of Crude Oil,Imports from Mexico of Crude Oil,Thousand Barrels per Day,weekly
W_EPC0_IM0_NUS-NNI_MBBLD,weekly U.S. Imports from Nigeria of Crude Oil,U.S.,,Imports from Nigeria of Crude Oil,Imports from Nigeria of Crude Oil,Thousand Barrels per Day,weekly
W_EPC0_IM0_NUS-NSA_MBBLD,weekly U.S. Imports from Saudi Arabia of Crude Oil,U.S.,,Imports from Saudi Arabia of Crude Oil,Imports from Saudi Arabia of Crude Oil,Thousand Barrels per Day,weekly
W_EPC0_IM0_NUS-NVE_MBBLD,weekly U.S. Imports from Venezuela of Crude Oil,U.S.,,Imports from Venezuela of Crude Oil,Imports from Venezuela of Crude Oil,Thousand Barrels per Day,weekly
WCRFPUS2,weekly U.S. Field Production of Crude Oil,U.S.,,Field Production of Crude Oil,Field Production of Crude Oil,Thousand Barrels per Day,weekly
W_EPC0_FPF_R48_MBBLD,weekly Total Lower 48 States Field Production of Crude Oil,Total,,Lower 48 States Field Production of Crude Oil,Lower 48 States Field Production of Crude Oil,Thousand Barrels per Day,weekly
W_EPC0_FPF_SAK_MBBLD,weekly Total Alaska Field Production of Crude Oil,Total,,Alaska Field Production of Crude Oil,Alaska Field Production of Crude Oil,Thousand Barrels per Day,weekly
WDIUPUS2,weekly U.S. Product Supplied of Distillate Fuel Oil,U.S.,,Product Supplied of Distillate Fuel Oil,Product Supplied of Distillate Fuel Oil,Thousand Barrels per Day,weekly
WGFUPUS2,weekly U.S. Product Supplied of Finished Motor Gasoline,U.S.,,Product Supplied of Finished Motor Gasoline,Product Supplied of Finished Motor Gasoline,Thousand Barrels per Day,weekly
WKJUPUS2,weekly U.S. Product Supplied of Kerosene-Type Jet Fuel,U.S.,,Product Supplied of Kerosene-Type Jet Fuel,Product Supplied of Kerosene-Type Jet Fuel,Thousand Barrels per Day,weekly
WPRUP_NUS_2,weekly U.S. Product Supplied of Propane and Propylene,U.S.,,Product Supplied of Propane and Propylene,Product Supplied of Propane and Propylene,Thousand Barrels per Day,weekly
WREUPUS2,weekly U.S. Product Supplied of Residual Fuel Oil,U.S.,,Product Supplied of Residual Fuel Oil,Product Supplied of Residual Fuel Oil,Thousand Barrels per Day,weekly
WRPUPUS2,weekly U.S. Product Supplied of Petroleum Products,U.S.,,Product Supplied of Petroleum Products,Product Supplied of Petroleum Products,Thousand Barrels per Day,weekly
WWOUP_NUS_2,weekly U.S. Product Supplied of Other Oils,U.S.,,Product Supplied of Other Oils,Product Supplied of Other Oils,Thousand Barrels per Day,weekly
WBCRI_NUS_2,weekly U.S. Refiner and Blender Net Input of Gasoline Blending Components,U.S.,,Refiner and Blender Net Input of Gasoline Blending Components,Refiner and Blender Net Input of Gasoline Blending Components,Thousand Barrels per Day,weekly
WBCRI_R10_2,weekly East Coast (PADD 1) Refiner and Blender Net Input of Gasoline Blending Components,East Coast,,(PADD 1) Refiner and Blender Net Input of Gasoline Blending Components,(PADD 1) Refiner and Blender Net Input of Gasoline Blending Components,Thousand Barrels per Day,weekly
WBCRI_R20_2,weekly Midwest (PADD 2) Refiner and Blender Net Input of Gasoline Blending Components,Midwest,,(PADD 2) Refiner and Blender Net Input of Gasoline Blending Components,(PADD 2) Refiner and Blender Net Input of Gasoline Blending Components,Thousand Barrels per Day,weekly
WBCRI_R30_2,weekly Gulf Coast (PADD 3) Refiner and Blender Net Input of Gasoline Blending Components,Gulf Coast,,(PADD 3) Refiner and Blender Net Input of Gasoline Blending Components,(PADD 3) Refiner and Blender Net Input of Gasoline Blending Components,Thousand Barrels per Day,weekly
WBCRI_R40_2,weekly Rocky Mountain (PADD 4) Refiner and Blender Net Input of Gasoline Blending Components,Rocky Mountain,,(PADD 4) Refiner and Blender Net Input of Gasoline Blending Components,(PADD 4) Refiner and Blender Net Input of Gasoline Blending Components,Thousand Barrels per Day,weekly
WBCRI_R50_2,weekly West Coast (PADD 5) Refiner and Blender Net Input of Gasoline Blending Components,West Coast,,(PADD 5) Refiner and Blender Net Input of Gasoline Blending Components,(PADD 5) Refiner and Blender Net Input of Gasoline Blending Components,Thousand Barrels per Day,weekly
WO6RI_NUS_2,weekly U.S. Refiner and Blender Net Input of Conventional CBOB Gasoline Blending Components,U.S.,,Refiner and Blender Net Input of Conventional CBOB Gasoline Blending Components,Refiner and Blender Net Input of Conventional CBOB Gasoline Blending Components,Thousand Barrels per Day,weekly
WO6RI_R10_2,weekly East Coast (PADD 1) Refiner and Blender Net Input of Conventional CBOB Gasoline Blending Components,East Coast,,(PADD 1) Refiner and Blender Net Input of Conventional CBOB Gasoline Blending Components,(PADD 1) Refiner and Blender Net Input of Conventional CBOB Gasoline Blending Components,Thousand Barrels per Day,weekly
WO6RI_R20_2,weekly Midwest (PADD 2) Refiner and Blender Net Input of Conventional CBOB Gasoline Blending Components,Midwest,,(PADD 2) Refiner and Blender Net Input of Conventional CBOB Gasoline Blending Components,(PADD 2) Refiner and Blender Net Input of Conventional CBOB Gasoline Blending Components,Thousand Barrels per Day,weekly
WO6RI_R30_2,weekly Gulf Coast (PADD 3) Refiner and Blender Net Input of Conventional CBOB Gasoline Blending Components,Gulf Coast,,(PADD 3) Refiner and Blender Net Input of Conventional CBOB Gasoline Blending Components,(PADD 3) Refiner and Blender Net Input of Conventional CBOB Gasoline Blending Components,Thousand Barrels per Day,weekly
WO6RI_R40_2,weekly Rocky Mountain (PADD 4) Refiner and Blender Net Input of Conventional CBOB Gasoline Blending Components,Rocky Mountain,,(PADD 4) Refiner and Blender Net Input of Conventional CBOB Gasoline Blending Components,(PADD 4) Refiner and Blender Net Input of Conventional CBOB Gasoline Blending Components,Thousand Barrels per Day,weekly
WO6RI_R50_2,weekly West Coast (PADD 5) Refiner and Blender Net Input of Conventional CBOB Gasoline Blending Components,West Coast,,(PADD 5) Refiner and Blender Net Input of Conventional CBOB Gasoline Blending Components,(PADD 5) Refiner and Blender Net Input of Conventional CBOB Gasoline Blending Components,Thousand Barrels per Day,weekly
WO7RI_NUS_2,weekly U.S. Refiner and Blender Net Input of Conventional GTAB Gasoline Blending Components,U.S.,,Refiner and Blender Net Input of Conventional GTAB Gasoline Blending Components,Refiner and Blender Net Input of Conventional GTAB Gasoline Blending Components,Thousand Barrels per Day,weekly
WO7RI_R10_2,weekly East Coast (PADD 1) Refiner and Blender Net Input of Conventional GTAB Gasoline Blending Components,East Coast,,(PADD 1) Refiner and Blender Net Input of Conventional GTAB Gasoline Blending Components,(PADD 1) Refiner and Blender Net Input of Conventional GTAB Gasoline Blending Components,Thousand Barrels per Day,weekly
WO7RI_R20_2,weekly Midwest (PADD 2) Refiner and Blender Net Input of Conventional GTAB Gasoline Blending Components,Midwest,,(PADD 2) Refiner and Blender Net Input of Conventional GTAB Gasoline Blending Components,(PADD 2) Refiner and Blender Net Input of Conventional GTAB Gasoline Blending Components,Thousand Barrels per Day,weekly
WO7RI_R30_2,weekly Gulf Coast (PADD 3) Refiner and Blender Net Input of Conventional GTAB Gasoline Blending Components,Gulf Coast,,(PADD 3) Refiner and Blender Net Input of Conventional GTAB Gasoline Blending Components,(PADD 3) Refiner and Blender Net Input of Conventional GTAB Gasoline Blending Components,Thousand Barrels per Day,weekly
WO7RI_R40_2,weekly Rocky Mountain (PADD 4) Refiner and Blender Net Input of Conventional GTAB Gasoline Blending Components,Rocky Mountain,,(PADD 4) Refiner and Blender Net Input of Conventional GTAB Gasoline Blending Components,(PADD 4) Refiner and Blender Net Input of Conventional GTAB Gasoline Blending Components,Thousand Barrels per Day,weekly
WO7RI_R50_2,weekly West Coast (PADD 5) Refiner and Blender Net Input of Conventional GTAB Gasoline Blending Components,West Coast,,(PADD 5) Refiner and Blender Net Input of Conventional GTAB Gasoline Blending Components,(PADD 5) Refiner and Blender Net Input of Conventional GTAB Gasoline Blending Components,Thousand Barrels per Day,weekly
WO9RI_NUS_2,weekly U.S. Refiner and Blender Net Input of Conventional Other Gasoline Blending Components,U.S.,,Refiner and Blender Net Input of Conventional Other Gasoline Blending Components,Refiner and Blender Net Input of Conventional Other Gasoline Blending Components,Thousand Barrels per Day,weekly
