source_table,source_sheet,source_column,series_name,region,subregion,product,metric,unit,period_type
WPSR_CSV,https://irtest.eia.gov/wpsr/wpsr.csv,W_EPM0F_YPB_R40_MBBLD,weekly Rocky Mountain (PADD 4) Blender Net Production of Finished Motor Gasoline,Rocky Mountain,,Blender Net Production of Finished Motor Gasoline,Blender Net Production of Finished Motor Gasoline,Thousand Barrels per Day,weekly
WPSR_CSV,https://irtest.eia.gov/wpsr/wpsr.csv,W_EPM0F_YPB_R50_MBBLD,weekly West Coast (PADD 5) Blender Net Production of Finished Motor Gasoline,West Coast,,Blender Net Production of Finished Motor Gasoline,Blender Net Production of Finished Motor Gasoline,Thousand Barrels per Day,weekly
WPSR_CSV,https://irtest.eia.gov/wpsr/wpsr.csv,W_EPM0F_YPR_NUS_MBBLD,weekly U.S. Refinery and Blender Net Production of Finished Motor Gasoline,U.S.,,Refinery and Blender Net Production of Finished Motor Gasoline,Refinery and Blender Net Production of Finished Motor Gasoline,Thousand Barrels per Day,weekly
WPSR_CSV,https://irtest.eia.gov/wpsr/wpsr.csv,W_EPM0F_YPY_NUS_MBBLD,weekly U.S. Refinery Net Production of Finished Motor Gasoline,U.S.,,Refinery Net Production of Finished Motor Gasoline,Refinery Net Production of Finished Motor Gasoline,Thousand Barrels per Day,weekly
WPSR_CSV,https://irtest.eia.gov/wpsr/wpsr.csv,W_EPM0F_YPY_R10_MBBLD,weekly East Coast (PADD 1) Refinery Net Production of Finished Motor Gasoline,East Coast,,Refinery Net Production of Finished Motor Gasoline,Refinery Net Production of Finished Motor Gasoline,Thousand Barrels per Day,weekly
WPSR_CSV,https://irtest.eia.gov/wpsr/wpsr.csv,W_EPM0F_YPY_R20_MBBLD,weekly Midwest (PADD 2) Refinery Net Production of Finished Motor Gasoline,Midwest,,Refinery Net Production of Finished Motor Gasoline,Refinery Net Production of Finished Motor Gasoline,Thousand Barrels per Day,weekly
WPSR_CSV,https://irtest.eia.gov/wpsr/wpsr.csv,W_EPM0F_YPY_R30_MBBLD,weekly Gulf Coast (PADD 3) Refinery Net Production of Finished Motor Gasoline,Gulf Coast,,Refinery Net Production of Finished Motor Gasoline,Refinery Net Production of Finished Motor Gasoline,Thousand Barrels per Day,weekly
WPSR_CSV,https://irtest.eia.gov/wpsr/wpsr.csv,W_EPM0F_YPY_R40_MBBLD,weekly Rocky Mountain (PADD 4) Refinery Net Production of Finished Motor Gasoline,Rocky Mountain,,Refinery Net Production of Finished Motor Gasoline,Refinery Net Production of Finished Motor Gasoline,Thousand Barrels per Day,weekly
WPSR_CSV,https://irtest.eia.gov/wpsr/wpsr.csv,W_EPM0F_YPY_R50_MBBLD,weekly West Coast (PADD 5) Refinery Net Production of Finished Motor Gasoline,West Coast,,Refinery Net Production of Finished Motor Gasoline,Refinery Net Production of Finished Motor Gasoline,Thousand Barrels per Day,weekly
WPSR_CSV,https://irtest.eia.gov/wpsr/wpsr.csv,W_EPM0RA_YPB_NUS_MBBLD,weekly U.S. Blender Net Production of Reformulated Motor Gasoline with Ethanol,U.S.,,Blender Net Production of Reformulated Motor Gasoline with Ethanol,Blender Net Production of Reformulated Motor Gasoline with Ethanol,Thousand Barrels per Day,weekly
WPSR_CSV,https://irtest.eia.gov/wpsr/wpsr.csv,W_EPM0RA_YPY_NUS_MBBLD,weekly U.S. Refinery Net Production of Finished Reformulated Motor Gasoline with Ethanol,U.S.,,Refinery Net Production of Finished Reformulated Motor Gasoline with Ethanol,Refinery Net Production of Finished Reformulated Motor Gasoline with Ethanol,Thousand Barrels per Day,weekly
WPSR_CSV,https://irtest.eia.gov/wpsr/wpsr.csv,W_EPM0RO_IM0_NUS-Z00_MBBLD,weekly U.S. Imports from All Countries of Other Reformulated Motor Gasoline,U.S.,,Imports from All Countries of Other Reformulated Motor Gasoline,Imports from All Countries of Other Reformulated Motor Gasoline,Thousand Barrels per Day,weekly
WPSR_CSV,https://irtest.eia.gov/wpsr/wpsr.csv,W_EPM0RO_IM0_R10-Z00_MBBLD,weekly East Coast (PADD 1) Imports from All Countries of Other Reformulated Motor Gasoline,East Coast,,Imports from All Countries of Other Reformulated Motor Gasoline,Imports from All Countries of Other Reformulated Motor Gasoline,Thousand Barrels per Day,weekly
