period_month,padd1_distillate_product_supplied_kbd,northeast_share,southeast_share,estimated_padd_1ab_kbd,estimated_padd_1c_kbd,share_source
2016-01-01,1341.0,0.6093367033580983,0.39066329664190175,817.1205192032098,523.8794807967903,prime_supplier_actual
2016-02-01,1415.0,0.6021849463001318,0.39781505369986825,852.0916990146865,562.9083009853135,prime_supplier_actual
2016-03-01,1313.0,0.5381801285589066,0.46181987144109343,706.6305087978444,606.3694912021557,prime_supplier_actual
2016-04-01,1165.0,0.5198273879281076,0.48017261207189244,605.5989069362453,559.4010930637547,prime_supplier_actual
2016-05-01,1076.0,0.49973294683171415,0.5002670531682859,537.7126507909244,538.2873492090756,prime_supplier_actual
2016-06-01,1020.0,0.4687850289731167,0.5312149710268833,478.160729552579,541.839270447421,prime_supplier_actual
2016-07-01,967.0,0.4680270330331116,0.5319729669668884,452.58214094301894,514.4178590569811,prime_supplier_actual
2016-08-01,1072.0,0.4738747936604869,0.5261252063395132,507.99377880404194,564.0062211959581,prime_supplier_actual
2016-09-01,1137.0,0.5021977686363968,0.4978022313636033,570.9988629395831,566.0011370604169,prime_supplier_actual
2016-10-01,1058.0,0.5155924304348222,0.48440756956517783,545.4967914000418,512.5032085999582,prime_supplier_actual
2016-11-01,1209.0,0.5433976487632107,0.4566023512367893,656.9677573547218,552.0322426452782,prime_supplier_actual
2016-12-01,1347.0,0.5960623614583072,0.4039376385416929,802.8960008843397,544.1039991156604,prime_supplier_actual
2017-01-01,1373.0,0.5859890435556557,0.4140109564443442,804.5629568019153,568.4370431980846,prime_supplier_actual
2017-02-01,1388.0,0.5674531553792884,0.4325468446207115,787.6249796664523,600.3750203335476,prime_supplier_actual
2017-03-01,1395.0,0.5581935382790381,0.441806461720962,778.6799858992581,616.320014100742,prime_supplier_actual
2017-04-01,1054.0,0.5073627418423005,0.4926372581576996,534.7603299017846,519.2396700982154,prime_supplier_actual
2017-05-01,1071.0,0.49062647404043397,0.5093735259595661,525.4609536973048,545.5390463026953,prime_supplier_actual
2017-06-01,1098.0,0.47819237109729973,0.5218076289027003,525.0552234648351,572.9447765351649,prime_supplier_actual
2017-07-01,1027.0,0.4590610005981699,0.5409389994018301,471.45564761432047,555.5443523856795,prime_supplier_actual
2017-08-01,1114.0,0.4721944601469757,0.5278055398530244,526.0246286037309,587.9753713962691,prime_supplier_actual
2017-09-01,1039.0,0.4835078705523425,0.5164921294476575,502.36467750388385,536.6353224961161,prime_supplier_actual
2017-10-01,1066.0,0.47485794073720583,0.5251420592627941,506.1985648258614,559.8014351741385,prime_supplier_actual
2017-11-01,1281.0,0.5340934076463315,0.4659065923536686,684.1736551949507,596.8263448050495,prime_supplier_actual
2017-12-01,1428.0,0.6048308716332632,0.39516912836673684,863.6984846922999,564.3015153077002,prime_supplier_actual
2018-01-01,1701.0,0.6224326032300742,0.3775673967699258,1058.7578580943562,642.2421419056437,prime_supplier_actual
2018-02-01,1426.0,0.5852862471618553,0.41471375283814466,834.6181884528056,591.3818115471943,prime_supplier_actual
2018-03-01,1311.0,0.5436315227330357,0.45636847726696433,712.7009263030099,598.2990736969903,prime_supplier_actual
2018-04-01,1313.0,0.530228783540669,0.4697712164593309,696.1903927888984,616.8096072111015,prime_supplier_actual
2018-05-01,1158.0,0.46969226691195287,0.5303077330880471,543.9036450840414,614.0963549159586,prime_supplier_actual
2018-06-01,1090.0,0.4692168485587132,0.5307831514412867,511.4463649289974,578.5536350710025,prime_supplier_actual
2018-07-01,1038.0,0.4581030565124973,0.5418969434875027,475.5109726599722,562.4890273400279,prime_supplier_actual
2018-08-01,1093.0,0.4631983664158649,0.5368016335841351,506.27581449254035,586.7241855074597,prime_supplier_actual
2018-09-01,1057.0,0.48315368291155214,0.5168463170884479,510.6934428375106,546.3065571624894,prime_supplier_actual
2018-10-01,1270.0,0.5027327996147595,0.49726720038524047,638.4706555107446,631.5293444892554,prime_supplier_actual
2018-11-01,1353.0,0.5545145305606151,0.44548546943938494,750.2581598485122,602.7418401514878,prime_supplier_actual
2018-12-01,1356.0,0.5920197733526092,0.40798022664739075,802.7788126661382,553.2211873338618,prime_supplier_actual
2019-01-01,1567.0,0.6074320638635992,0.3925679361364009,951.8460440742599,615.1539559257402,prime_supplier_actual
2019-02-01,1499.0,0.6002091649091005,0.39979083509089963,899.7135381987416,599.2864618012585,prime_supplier_actual
2019-03-01,1304.0,0.5709201388888889,0.4290798611111111,744.4798611111112,559.5201388888889,prime_supplier_actual
2019-04-01,1225.0,0.48869593210163875,0.5113040678983612,598.6525168245074,626.3474831754926,prime_supplier_actual
2019-05-01,1119.0,0.47171830032165224,0.5282816996783477,527.8527780599288,591.1472219400711,prime_supplier_actual
2019-06-01,1099.0,0.4578309771655193,0.5421690228344807,503.1562439049057,595.8437560950942,prime_supplier_actual
2019-07-01,1067.0,0.46577456804356004,0.5342254319564399,496.9814641024786,570.0185358975214,prime_supplier_actual
2019-08-01,1137.0,0.46322364539343175,0.5367763546065683,526.6852848123319,610.3147151876681,prime_supplier_actual
2019-09-01,1068.0,0.49666748203282435,0.5033325179671757,530.4408708110564,537.5591291889436,prime_supplier_actual
2019-10-01,1151.0,0.4985958200207574,0.5014041799792426,573.8837888438918,577.1162111561082,prime_supplier_actual
2019-11-01,1346.0,0.5446133023683675,0.4553866976316325,733.0495049878226,612.9504950121773,prime_supplier_actual
2019-12-01,1315.0,0.5933795218522933,0.4066204781477067,780.2940712357656,534.7059287642343,prime_supplier_actual
2020-01-01,1377.0,0.5845390409084086,0.41546095909159136,804.9102593308786,572.0897406691213,prime_supplier_actual
2020-02-01,1401.0,0.5720102082550658,0.4279897917449343,801.3863017653472,599.6136982346529,prime_supplier_actual
2020-03-01,1256.0,0.5357586081969614,0.46424139180303853,672.9128118953836,583.0871881046164,prime_supplier_actual
2020-04-01,1019.0,0.5344333788255942,0.46556662117440584,544.5876130232805,474.4123869767196,prime_supplier_actual
2020-05-01,1051.0,0.5044651071649616,0.49553489283503843,530.1928276303747,520.8071723696254,prime_supplier_actual
2020-06-01,987.0,0.47293057697093177,0.5270694230290683,466.7824794703097,520.2175205296904,prime_supplier_actual
2020-07-01,1015.0,0.44707901703151254,0.5529209829684875,453.7852022869852,561.2147977130147,prime_supplier_actual
2020-08-01,1012.0,0.4541311519640908,0.5458688480359092,459.5807257876599,552.41927421234,prime_supplier_actual
2020-09-01,1062.0,0.47944522768294107,0.5205547723170589,509.1708317992834,552.8291682007166,prime_supplier_actual
2020-10-01,1222.0,0.4874148027263128,0.5125851972736872,595.6208889315543,626.3791110684458,prime_supplier_actual
2020-11-01,1178.0,0.5216810861201601,0.47831891387984,614.5403194495485,563.4596805504515,prime_supplier_actual
2020-12-01,1358.0,0.5724087042021603,0.4275912957978397,777.3310203065337,580.6689796934663,prime_supplier_actual
2021-01-01,1375.0,0.5862456767672763,0.41375432323272376,806.0878055550049,568.9121944449952,prime_supplier_actual
2021-02-01,1372.0,0.5792667352390946,0.4207332647609054,794.7539607480377,577.2460392519622,prime_supplier_actual
2021-03-01,1342.0,0.5372540141093795,0.46274598589062066,720.9948869347872,621.005113065213,prime_supplier_actual
2021-04-01,1235.0,0.4826626637711296,0.5173373362288705,596.088389757345,638.911610242655,prime_supplier_actual
2021-05-01,1039.0,0.4628603166035051,0.5371396833964949,480.91186895104175,558.0881310489582,prime_supplier_actual
2021-06-01,1118.0,0.45061788032356376,0.5493821196764362,503.7907902017443,614.2092097982558,prime_supplier_actual
2021-07-01,1032.0,0.44589675394874045,0.5541032460512595,460.1654500751001,571.8345499248998,prime_supplier_actual
2021-08-01,1105.0,0.44604311629369386,0.5539568837063061,492.8776435045317,612.1223564954682,prime_supplier_actual
2021-09-01,1157.0,0.4550016675931073,0.5449983324068927,526.4369294052251,630.5630705947748,prime_supplier_actual
2021-10-01,1076.0,0.47789407047900395,0.522105929520996,514.2140198354083,561.7859801645917,prime_supplier_actual
2021-11-01,1326.0,0.5077166448028397,0.49228335519716027,673.2322710085655,652.7677289914345,prime_supplier_actual
2021-12-01,1330.0,0.5455388509459076,0.45446114905409235,725.566671758057,604.4333282419428,prime_supplier_actual
2022-01-01,1576.0,0.5878891994897933,0.41211080051020677,926.5133783959143,649.4866216040858,prime_supplier_actual_adjusted
2022-02-01,1588.0,0.5612643431109735,0.4387356568890265,891.2877768602259,696.7122231397741,prime_supplier_actual_adjusted
2022-03-01,1261.0,0.5086302698840214,0.4913697301159786,641.382770323751,619.617229676249,prime_supplier_actual_adjusted
2022-04-01,1231.0,0.5019306582327875,0.49806934176721257,617.8766402845614,613.1233597154387,forward_3yr_same_month_average_adjusted
2022-05-01,995.0,0.4796812413633729,0.520318758636627,477.2828351565561,517.7171648434439,forward_3yr_same_month_average_adjusted
2022-06-01,1043.0,0.46045981148667153,0.5395401885133284,480.25958338059843,562.7404166194016,forward_3yr_same_month_average_adjusted
2022-07-01,987.0,0.45291677967460436,0.5470832203253957,447.0288615388345,539.9711384611655,forward_3yr_same_month_average_adjusted
2022-08-01,979.0,0.45446597121707216,0.5455340287829279,444.92218582151366,534.0778141784864,forward_3yr_same_month_average_adjusted
2022-09-01,1136.0,0.4770381257696242,0.5229618742303758,541.915310874293,594.0846891257069,forward_3yr_same_month_average_adjusted
2022-10-01,1136.0,0.4879682310753581,0.512031768924642,554.3319105016068,581.6680894983933,forward_3yr_same_month_average_adjusted
2022-11-01,1197.0,0.5246703444304558,0.47532965556954426,628.0304022832556,568.9695977167445,forward_3yr_same_month_average_adjusted
2022-12-01,1177.0,0.5704423590001204,0.42955764099987964,671.4106565431417,505.58934345685833,forward_3yr_same_month_average_adjusted
2023-01-01,1364.0,0.5862246390551594,0.41377536094484063,799.6104076712375,564.3895923287627,forward_3yr_same_month_average_adjusted
2023-02-01,1297.0,0.5708470955350445,0.4291529044649554,740.3886829089528,556.6113170910471,forward_3yr_same_month_average_adjusted
2023-03-01,1335.0,0.5272142973967874,0.47278570260321257,703.8310870247111,631.1689129752888,forward_3yr_same_month_average_adjusted
2023-04-01,1088.0,0.5019306582327875,0.49806934176721257,546.1005561572728,541.8994438427272,forward_3yr_same_month_average_adjusted
2023-05-01,1044.0,0.4796812413633729,0.520318758636627,500.7872159833613,543.2127840166386,forward_3yr_same_month_average_adjusted
