section,card,display_row,source_column,display_name,unit,scale,format,stock_flag,allowed_missing,direction,sort_order
GASOLINE,Production,TOT,calc:gasoline_production:TOT,TOT Production,Thousand Barrels per Day,1.0,kbd,false,false,higher_green,48
GASOLINE,Imports,I,calc:gasoline_imports:I,I Imports,Thousand Barrels per Day,1.0,kbd,false,false,neutral,49
GASOLINE,Imports,II,calc:gasoline_imports:II,II Imports,Thousand Barrels per Day,1.0,kbd,false,false,neutral,50
GASOLINE,Imports,III,calc:gasoline_imports:III,III Imports,Thousand Barrels per Day,1.0,kbd,false,false,neutral,51
GASOLINE,Imports,IV,calc:gasoline_imports:IV,IV Imports,Thousand Barrels per Day,1.0,kbd,false,false,neutral,52
GASOLINE,Imports,V,calc:gasoline_imports:V,V Imports,Thousand Barrels per Day,1.0,kbd,false,false,neutral,53
GASOLINE,Imports,TOT,calc:gasoline_imports:TOT,TOT Imports,Thousand Barrels per Day,1.0,kbd,false,false,neutral,54
GASOLINE,Exports/Demand,EXP,W_EPM0F_EEX_NUS-Z00_MBBLD,Exports,Thousand Barrels per Day,1.0,kbd,false,false,neutral,55
GASOLINE,Exports/Demand,DEM,WGFUPUS2,Demand,Thousand Barrels per Day,1.0,kbd,false,false,higher_green,56
GASOLINE,Yield,I,calc:yield:GASOLINE:I,I Yield,Percent,1.0,percent,false,false,higher_green,57
GASOLINE,Yield,II,calc:yield:GASOLINE:II,II Yield,Percent,1.0,percent,false,false,higher_green,58
GASOLINE,Yield,III,calc:yield:GASOLINE:III,III Yield,Percent,1.0,percent,false,false,higher_green,59
GASOLINE,Yield,IV,calc:yield:GASOLINE:IV,IV Yield,Percent,1.0,percent,false,false,higher_green,60
GASOLINE,Yield,V,calc:yield:GASOLINE:V,V Yield,Percent,1.0,percent,false,false,higher_green,61
GASOLINE,Yield,TOT,calc:yield:GASOLINE:TOT,TOT Yield,Percent,1.0,percent,false,false,higher_green,62
DISTILLATES,Stocks,I,WDISTP11,I Stocks,Thousand Barrels,1000.0,mmb,true,false,lower_green,57
DISTILLATES,Stocks,II,WDISTP21,II Stocks,Thousand Barrels,1000.0,mmb,true,false,lower_green,58
DISTILLATES,Stocks,III,WDISTP31,III Stocks,Thousand Barrels,1000.0,mmb,true,false,lower_green,59
DISTILLATES,Stocks,IV,WDISTP41,IV Stocks,Thousand Barrels,1000.0,mmb,true,false,lower_green,60
DISTILLATES,Stocks,V,WDISTP51,V Stocks,Thousand Barrels,1000.0,mmb,true,false,lower_green,61
DISTILLATES,Stocks,TOT,WDISTUS1,TOT Stocks,Thousand Barrels,1000.0,mmb,true,false,lower_green,62
DISTILLATES,Stocks,A,WDIST1A1,A Stocks,Thousand Barrels,1000.0,mmb,true,true,lower_green,63
DISTILLATES,Stocks,B,WDIST1B1,B Stocks,Thousand Barrels,1000.0,mmb,true,true,lower_green,64
DISTILLATES,Stocks,C,WDIST1C1,C Stocks,Thousand Barrels,1000.0,mmb,true,true,lower_green,65
DISTILLATES,Production,I,WDIRPP12,I Production,Thousand Barrels per Day,1.0,kbd,false,false,higher_green,66
DISTILLATES,Production,II,WDIRPP22,II Production,Thousand Barrels per Day,1.0,kbd,false,false,higher_green,67
DISTILLATES,Production,III,WDIRPP32,III Production,Thousand Barrels per Day,1.0,kbd,false,false,higher_green,68
DISTILLATES,Production,IV,WDIRPP42,IV Production,Thousand Barrels per Day,1.0,kbd,false,false,higher_green,69
DISTILLATES,Production,V,WDIRPP52,V Production,Thousand Barrels per Day,1.0,kbd,false,false,higher_green,70
DISTILLATES,Production,TOT,WDIRPUS2,TOT Production,Thousand Barrels per Day,1.0,kbd,false,false,higher_green,71
DISTILLATES,Imports,I,WDIIM_R10-Z00_2,I Imports,Thousand Barrels per Day,1.0,kbd,false,false,neutral,72
DISTILLATES,Imports,II,WDIIM_R20-Z00_2,II Imports,Thousand Barrels per Day,1.0,kbd,false,false,neutral,73
DISTILLATES,Imports,III,WDIIM_R30-Z00_2,III Imports,Thousand Barrels per Day,1.0,kbd,false,false,neutral,74
DISTILLATES,Imports,IV,WDIIM_R40-Z00_2,IV Imports,Thousand Barrels per Day,1.0,kbd,false,false,neutral,75
DISTILLATES,Imports,V,WDIIM_R50-Z00_2,V Imports,Thousand Barrels per Day,1.0,kbd,false,false,neutral,76
DISTILLATES,Imports,TOT,WDIIMUS2,TOT Imports,Thousand Barrels per Day,1.0,kbd,false,false,neutral,77
DISTILLATES,Exports/Demand,EXP,WDIEXUS2,Exports,Thousand Barrels per Day,1.0,kbd,false,false,neutral,78
DISTILLATES,Exports/Demand,DEM,WDIUPUS2,Demand,Thousand Barrels per Day,1.0,kbd,false,false,higher_green,79
DISTILLATES,Yield,I,calc:yield:DISTILLATES:I,I Yield,Percent,1.0,percent,false,false,higher_green,80
DISTILLATES,Yield,II,calc:yield:DISTILLATES:II,II Yield,Percent,1.0,percent,false,false,higher_green,81
DISTILLATES,Yield,III,calc:yield:DISTILLATES:III,III Yield,Percent,1.0,percent,false,false,higher_green,82
DISTILLATES,Yield,IV,calc:yield:DISTILLATES:IV,IV Yield,Percent,1.0,percent,false,false,higher_green,83
DISTILLATES,Yield,V,calc:yield:DISTILLATES:V,V Yield,Percent,1.0,percent,false,false,higher_green,84
DISTILLATES,Yield,TOT,calc:yield:DISTILLATES:TOT,TOT Yield,Percent,1.0,percent,false,false,higher_green,85
