period;originCountries;quantity
2021-05;Colombia;19.10
2021-05;Egypt;0.62
2021-05;Netherlands;15.96
2021-05;Russian Federation;14.72
2021-05;Saudi Arabia;21.74
2021-06;Belgium;42.20
2021-06;Canada;61.84
2021-06;Colombia;9.26
2021-06;Nigeria;21.99
2021-06;Qatar;10.83
2021-06;Russian Federation;33.43
2021-07;Canada;69.17
2021-07;Qatar;16.27
2021-07;Trinidad and Tobago;2.42
2021-08;Bahamas;5.36
2021-08;Belgium;23.23
2021-08;Canada;80.02
2021-08;Egypt;2.20
2021-08;Netherlands;16.23
2021-08;Nigeria;20.46
2021-08;Oman;5.37
2021-08;Qatar;11.11
2021-09;Belgium;21.54
2021-09;Canada;48.26
2021-09;Netherlands;18.14
2021-09;Nigeria;11.52
2021-09;Oman;17.04
2021-09;Russian Federation;23.99
2021-10;Belgium;22.43
2021-10;Canada;45.56
2021-10;India;23.86
2021-10;Kuwait;12.31
2021-10;Latvia;10.31
2021-10;Netherlands;20.79
2021-10;Nigeria;10.00
2021-10;Norway;16.35
2021-10;Oman;11.67
2021-10;Qatar;9.99
2021-10;Saudi Arabia;24.19
2021-11;Canada;83.20
2021-11;Colombia;10.28
2021-11;India;24.92
2021-11;Netherlands;39.78
2021-11;Qatar;9.71
2021-11;Russian Federation;56.90
2021-11;Spain;7.29
2021-12;Canada;107.42
2021-12;India;12.51
2021-12;Japan;10.94
2021-12;Oman;26.04
2021-12;Russian Federation;10.87
2021-12;South Korea;15.43
2021-12;Taiwan;9.14
2022-01;Canada;104.99
2022-01;Netherlands;24.31
2022-01;Qatar;34.56
2022-02;Belgium;13.73
2022-02;Canada;116.51
2022-02;Latvia;19.38
2022-02;Netherlands;28.69
2022-02;Nigeria;11.05
2022-02;Qatar;11.86
2022-02;Russian Federation;55.98
2022-02;Saudi Arabia;51.71
2022-03;Canada;88.61
2022-03;Netherlands;31.41
2022-03;Oman;4.64
2022-03;Qatar;22.05
2022-04;Canada;76.75
2022-05;Canada;81.07
2022-05;Curacao;1.75
2022-05;Netherlands;31.65
2022-05;Nigeria;10.00
2022-05;Sweden;9.10
2022-06;Canada;43.51
2022-06;Saudi Arabia;19.21
2022-07;Canada;110.55
2022-08;Canada;96.57
2022-09;Canada;76.77
2022-10;Canada;69.80
2022-10;Malaysia;23.97
2022-10;Qatar;19.86
2022-11;Canada;81.31
2022-11;Netherlands;28.32
2022-11;Oman;16.44
2022-12;Canada;124.50
2022-12;India;21.22
2022-12;Netherlands;15.62
2023-01;Canada;149.79
2023-01;India;87.88
2023-01;Oman;5.88
2023-01;Qatar;18.75
2023-01;Singapore Republic;6.71
2023-02;Canada;103.55
2023-02;India;27.71
2023-02;Netherlands;14.69
2023-02;Qatar;11.58
2023-02;Saudi Arabia;26.79
2023-02;Taiwan;20.12
