Date;Canada;India;South Korea;Kuwait;Saudi Arabia;United Arab Emirates;Nigeria;Japan;Italy;France;Qatar;Algeria;Spain;Bahamas;Colombia;United Kingdom;Greece;Venezuela;Denmark;United States Virgin Islands;Russian Federation;Netherlands;China;Belgium;Taiwan;Oman;Panama;Malaysia;Germany;Trinidad and Tobago;Mexico;Morocco;Angola;Period End Date
2020-11;9.01;5.53;2.64;11.03;0;0;0;0;0;0;0;0;0;13.60;3.35;0;0;0;0;0;0;0;0;0;0;0;3.64;0;0;0;0;0;3.63;2020-11-30
2020-12;7.04;0;0;0;13.49;0;0;0;5.70;0;0;0;0;0;6.48;0;0;0;0;0;0;8.35;0;0;0;0;0;0;0;0;0;0;0;2020-12-31
2021-01;11.39;0;0;0;0;9.36;0;0;8.83;0;10.60;0;0;0;3.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021-01-31
2021-02;9.64;0;0;0;0;0;0;0;0;0;0;9.48;0;0;0;0;10.43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021-02-28
2021-03;7.02;0;9.53;0;4.84;0;0;0;0;0;0;19.56;0;0;0;0;0;0;0;8.05;0;0;0;0;0;0;0;0;0;0;0;0;0;2021-03-31
2021-04;12.84;6.27;9.39;10.07;0;25.51;0;0;0;0;3.69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021-04-30
2021-05;2.58;17.47;9.37;8.51;4.47;0;0;0;9.32;18.62;0;0;0;0;0;16.18;9.34;0;0;4.68;8.56;0;0;0;0;0;0;0;0;0;0;0;0;2021-05-31
2021-06;11.54;16.77;44.11;11.34;4.62;10.87;0;10.47;9.48;0;0;0;0;0;0;2.72;7.86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021-06-30
2021-07;11.13;15.87;0;0;14.06;4.74;0;0;9.18;4.66;0;0;0;0;0;9.71;0;0;0;0;0;0;0;0;0;5.78;0;0;0;1.75;0;0;0;2021-07-31
2021-08;7.31;29.52;0;19.07;0;0;0;0;0;15.82;0;10.33;0;4.70;0;0;0;0;0;0;0;0;0;9.28;0;0;0;0;0;0;0;0;0;2021-08-31
2021-09;3.00;48.79;9.38;13.57;7.22;0;0;7.61;0;18.05;0;0;0;0;0;0;0;0;10.69;0;0;0;0;0;0;4.21;0;0;0;0;0;0;0;2021-09-30
2021-10;1.45;32.35;29.27;1.61;16.16;0;0;0;9.88;18.52;0;0;9.91;0;0;0;0;0;21.23;0;0;0;0;0;0;5.77;0;0;0;0;0;0;0;2021-10-31
2021-11;6.26;16.84;0;10.67;0;0;0;11.51;0;0;0;0;0;0;0;0;0;0;0;0;5.30;0;0;0;0;0;1.83;0;0;0;4.17;0;0;2021-11-30
2021-12;14.49;38.09;0;12.23;29.48;0;0;2.66;0;0;0;0;0;0;0;0;0;0;0;0;5.13;0;0;0;0;0;0;0;0;0;0;0;0;2021-12-31
2022-01;1.02;6.87;0;27.66;10.59;0;0;0;0;0;17.31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022-01-31
2022-02;1.61;0;30.95;9.63;0;9.75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022-02-28
2022-03;10.89;0;4.08;9.93;16.21;0;0;9.56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022-03-31
2022-04;9.83;28.65;0;0;0;0;0;0;0;11.51;0;0;0;0;0;0;0;0;0;0;0;0;5.04;0;0;0;0;0;0;0;0;4.00;0;2022-04-30
2022-05;15.49;10.00;0;6.46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022-05-31
2022-06;5.26;0;0;9.87;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022-06-30
2022-07;12.02;5.35;10.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022-07-31
2022-08;5.81;17.96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022-08-31
2022-09;11.60;7.99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022-09-30
2022-10;5.16;11.50;7.89;40.46;0;0;0;0;0;0;0;9.35;9.70;6.78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022-10-31
