Date;Latin America;North West Europe Zone;MED Zone (MED Sea+Black Sea);Unknown;Other North Africa;Western Africa;East Coast Canada;Southern Africa;Oceania;Eastern Asia;South-East Asia;West Coast Canada;South-Central Asia;Other Southern Europe;Eastern Africa;Other Middle East;Mideast Gulf;Period End Date
2019-01-04;737.38;127.59;0;5.49;0;0;0;0;0;21.82;0;6.23;0;0;0;0;0;2019-01-04
2019-01-11;1003.80;86.02;98.51;2.67;0;0;31.84;0;0;0;0;4.43;0;0;0;0;0;2019-01-11
2019-01-18;909.94;41.57;86.55;10.21;0;0;0;0;0;1.31;0;10.66;0;0;0;0;0;2019-01-18
2019-01-25;1046.97;87.72;45.19;1.76;0;0;0;0;0;0;0;0;0;0;0;0;0;2019-01-25
2019-02-01;916.70;41.72;46.44;21.57;0;40.50;0;0;0;0;0;8.08;0;0;0;0;0;2019-02-01
2019-02-08;492.57;24.03;46.90;5.17;0;0;28.92;0;0;0;0;0;0;0;0;0;0;2019-02-08
2019-02-15;936.73;42.64;82.94;5.75;0;0;0;0;0;0;0;0;0;0;0;0;0;2019-02-15
2019-02-22;684.10;0;42.64;6.06;0;0;45.64;0;0;0;0;9.71;0;0;0;0;0;2019-02-22
2019-03-01;689.19;171.98;149.65;16.93;0;0;0;0;0;0;0;0;0;0;0;0;0;2019-03-01
2019-03-08;778.55;162.26;42.15;3.84;0;0;0;0;0;0;0;0;0;0;0;0;0;2019-03-08
2019-03-15;850.26;17.95;0;26.01;46.51;0;0;0;0;0;0;0;0;0;0;0;0;2019-03-15
2019-03-22;780.88;176.17;86.93;12.43;0;0;0;0;0;0;0;0;0;0;0;0;0;2019-03-22
2019-03-29;692.22;118.75;46.90;10.41;0;0;0;0;0;0;0;0;0;0;0;0;0;2019-03-29
2019-04-05;958.53;43.48;0;27.52;0;0;0;0;0;0;0;0;0;0;0;0;0;2019-04-05
2019-04-12;966.31;54.24;38.03;25.44;47.25;0;0;0;0;0;0;0;0;0;0;0;0;2019-04-12
2019-04-19;772.51;110.50;0;32.96;0;0;17.84;0;0;0;0;0;0;0;0;0;0;2019-04-19
2019-04-26;994.06;193.43;0;0;0;0;38.14;0;0;1.30;0;0;0;0;0;0;0;2019-04-26
2019-05-03;887.64;212.72;0;47.55;0;0;0;0;0;0;0;0;0;0;0;0;0;2019-05-03
2019-05-10;566.91;135.16;162.51;0;32.34;0;0;0;0;0;0;0;0;0;0;0;0;2019-05-10
2019-05-17;731.47;50.52;0;25.25;18.19;26.72;39.21;0;0;0;0;0;0;0;0;0;0;2019-05-17
2019-05-24;770.00;228.64;20.68;45.64;164.36;2.84;0;0;0;0;0;0;0;0;0;0;0;2019-05-24
2019-05-31;826.60;160.80;48.27;37.73;0;42.92;0;0;0;0;0;0;0;0;0;0;0;2019-05-31
2019-06-07;767.09;195.35;49.21;6.88;44.47;110.82;0;0;0;0;0;0;0;0;0;0;0;2019-06-07
2019-06-14;903.33;155.61;122.76;46.91;38.97;0;0;0;0;0;0;0;0;0;0;0;0;2019-06-14
2019-06-21;800.22;343.00;0;62.93;46.90;0;0;0;7.90;0;0;0;0;0;0;0;0;2019-06-21
2019-06-28;1029.60;132.42;86.37;0;73.95;0;0;0;0;0;0;0;0;0;0;0;0;2019-06-28
2019-07-05;697.14;44.30;50.39;64.35;106.53;45.28;0;0;0;0;0;0;0;0;0;0;0;2019-07-05
2019-07-12;894.31;61.95;6.71;17.66;0;0;37.52;0;0;0;0;0;0;0;0;0;0;2019-07-12
2019-07-19;654.72;149.55;51.36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2019-07-19
2019-07-26;1056.51;113.08;130.68;46.47;0;0;36.61;0;0;0;0;0;0;0;0;0;0;2019-07-26
2019-08-02;665.98;52.02;294.36;7.14;9.78;0;0;0;0;0;0;0;0;0;0;0;0;2019-08-02
2019-08-09;1242.36;117.88;150.08;39.68;96.31;0;0;0;0;0;0;0;0;0;0;0;0;2019-08-09
2019-08-16;806.97;156.66;117.50;0;57.06;0;0;0;0;0;0;0;0;0;0;0;0;2019-08-16
2019-08-23;1046.85;219.31;87.97;9.12;92.04;0;0;0;0;0;0;0;0;0;0;0;0;2019-08-23
2019-08-30;1041.88;181.17;133.09;2.87;43.38;0;0;0;0;0;0;0;0;0;0;0;0;2019-08-30
2019-09-06;1109.19;42.07;86.58;74.21;0;0;0;0;0;0;0;0;0;0;0;0;0;2019-09-06
2019-09-13;794.50;102.28;0;0;45.01;0;0;0;0;0;0;0;0;0;0;0;0;2019-09-13
2019-09-20;1199.57;4.53;0;2.61;0;0;0;0;0;0;0;0;0;0;0;0;0;2019-09-20
2019-09-27;984.90;89.05;0;0;46.57;0;0;0;0;0;0;0;0;0;0;0;0;2019-09-27
2019-10-04;944.84;49.34;87.27;0;0;0;92.20;0;0;0;0;0;0;0;0;0;0;2019-10-04
2019-10-11;896.82;3.69;30.53;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2019-10-11
2019-10-18;918.91;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2019-10-18
2019-10-25;580.88;0;0;53.59;0;0;35.71;0;0;0;0;0;0;0;0;0;0;2019-10-25
2019-11-01;848.10;90.64;0;4.85;0.10;0;0;0;0;0;48.12;0;0;0;0;0;0;2019-11-01
2019-11-08;533.20;2.35;96.95;0;46.90;0;0;0;0;0;0;0;0;0;0;0;0;2019-11-08
2019-11-15;969.28;0;0;4.97;0;0;0;0;0;0;0;0;0;0;0;0;0;2019-11-15
2019-11-22;809.81;68.92;42.64;0;0;0;20.37;0;0;0;0;0;0;0;0;0;0;2019-11-22
2019-11-29;989.76;70.35;0;27.23;0;0;0;0;0;0;0;0;0;0;0;0;0;2019-11-29
2019-12-06;938.85;46.37;77.62;5.70;0;0;8.70;0;0;0;0;0;0;0;0;0;0;2019-12-06
2019-12-13;731.21;44.31;96.63;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2019-12-13
