Date;Latin America;North West Europe Zone;MED Zone (MED Sea+Black Sea);Other North Africa;Unknown;Western Africa;East Coast Canada;Southern Africa;Oceania;South-Central Asia;South-East Asia;Eastern Asia;Eastern Africa;Other Southern Europe;Other Middle East;West Coast Canada;Mideast Gulf;Period End Date
2019-01-18;857.65;41.57;86.55;0;10.21;0;0;0;0;0;0;1.31;0;0;0;0;0;2019-01-18
2019-01-25;866.61;87.72;45.19;0;1.76;0;0;0;0;0;0;0;0;0;0;0;0;2019-01-25
2019-02-01;824.54;41.72;46.44;0;3.26;40.50;0;0;0;0;0;0;0;0;0;0;0;2019-02-01
2019-02-08;435.10;24.03;46.90;0;0;0;28.92;0;0;0;0;0;0;0;0;0;0;2019-02-08
2019-02-15;794.35;42.64;82.94;0;5.75;0;0;0;0;0;0;0;0;0;0;0;0;2019-02-15
2019-02-22;536.59;0;42.64;0;5.11;0;45.64;0;0;0;0;0;0;0;0;0;0;2019-02-22
2019-03-01;646.17;171.98;42.79;0;4.07;0;0;0;0;0;0;0;0;0;0;0;0;2019-03-01
2019-03-08;629.76;52.82;42.15;0;3.84;0;0;0;0;0;0;0;0;0;0;0;0;2019-03-08
2019-03-15;681.49;0;0;46.51;26.01;0;0;0;0;0;0;0;0;0;0;0;0;2019-03-15
2019-03-22;645.72;176.17;86.93;0;12.43;0;0;0;0;0;0;0;0;0;0;0;0;2019-03-22
2019-03-29;592.11;118.75;46.90;0;10.41;0;0;0;0;0;0;0;0;0;0;0;0;2019-03-29
2019-04-05;815.06;43.48;0;0;5.30;0;0;0;0;0;0;0;0;0;0;0;0;2019-04-05
2019-04-12;827.66;54.24;38.03;47.25;11.24;0;0;0;0;0;0;0;0;0;0;0;0;2019-04-12
2019-04-19;772.51;110.50;0;0;32.96;0;0;0;0;0;0;0;0;0;0;0;0;2019-04-19
2019-04-26;806.33;100.36;0;0;0;0;38.14;0;0;0;0;1.30;0;0;0;0;0;2019-04-26
2019-05-03;831.53;212.72;0;0;47.55;0;0;0;0;0;0;0;0;0;0;0;0;2019-05-03
2019-05-10;562.99;91.11;129.43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2019-05-10
