period;originCountries;quantity
2020-01-24;Canada;31.08
2020-02-14;Canada;40.68
2020-02-28;Canada;24.28
2020-02-28;South Korea;57.14
2020-03-06;Saudi Arabia;52.55
2020-03-06;South Korea;14.57
2020-03-13;Canada;17.86
2020-03-20;Canada;12.86
2020-04-03;Canada;45.43
2020-04-03;South Korea;20.71
2020-04-10;Saudi Arabia;72.96
2020-04-10;South Korea;19.29
2020-04-24;Taiwan;29.62
2020-05-01;Colombia;15.29
2020-05-01;South Korea;61.79
2020-05-08;Qatar;67.35
2020-05-15;Saudi Arabia;25.00
2020-05-15;South Korea;36.41
2020-05-22;Canada;27.14
2020-05-22;Taiwan;42.60
2020-05-29;Canada;29.93
2020-06-12;Qatar;5.67
2020-06-19;Canada;11.43
2020-06-19;India;32.78
2020-06-19;Qatar;68.88
2020-06-19;Saudi Arabia;70.22
2020-06-26;Canada;6.43
2020-06-26;Kuwait;21.43
2020-06-26;South Korea;72.70
2020-07-03;India;57.43
2020-07-03;Italy;14.29
2020-07-03;Kuwait;24.97
2020-07-10;India;67.39
2020-07-17;Canada;17.86
2020-07-24;Canada;6.43
2020-07-31;Canada;12.36
2020-07-31;Kuwait;71.87
2020-08-07;Italy;43.79
2020-08-14;Canada;6.43
2020-08-14;India;71.47
2020-08-28;India;71.57
2020-08-28;South Korea;83.32
2020-09-04;Canada;19.29
2020-09-04;Netherlands;42.53
2020-09-11;Italy;11.43
2020-09-11;Kuwait;18.03
2020-09-11;Qatar;23.92
2020-09-18;Canada;12.86
2020-09-18;Colombia;17.76
2020-09-18;Italy;31.93
2020-09-18;South Korea;80.18
2020-09-25;South Korea;68.77
2020-10-02;Canada;6.43
2020-10-02;Spain;33.70
2020-10-09;Algeria;42.11
2020-10-09;Canada;11.29
2020-10-09;France;32.46
2020-10-09;United Arab Emirates;19.92
2020-10-16;Canada;11.00
2020-10-16;Colombia;18.53
2020-10-16;Italy;29.68
2020-10-16;Kuwait;52.43
2020-10-16;Spain;36.43
2020-10-23;Canada;12.29
2020-10-23;South Korea;37.06
2020-10-23;Spain;7.00
2020-10-30;South Korea;41.26
2020-10-30;United Arab Emirates;31.27
2020-11-06;Canada;6.43
2020-11-06;Kuwait;47.28
2020-11-06;Panama;15.61
2020-11-20;Bahamas;58.29
2020-11-20;Canada;6.45
2020-11-20;Colombia;4.13
2020-11-27;Angola;15.55
2020-11-27;Canada;25.71
2020-11-27;Colombia;10.22
2020-11-27;India;23.71
2020-11-27;South Korea;7.97
2020-12-04;Canada;6.10
2020-12-04;South Korea;3.35
2020-12-11;Canada;6.76
2020-12-11;Saudi Arabia;59.75
2020-12-18;Colombia;14.30
2020-12-25;Canada;12.86
2021-01-01;Canada;5.45
2021-01-01;Colombia;14.37
2021-01-01;Italy;25.23
2021-01-01;Netherlands;36.99
2021-01-08;Canada;18.29
2021-01-15;Italy;39.10
2021-01-15;United Arab Emirates;41.44
2021-01-22;Canada;12.86
2021-01-22;Qatar;46.96
2021-01-29;Canada;19.29
2021-02-05;Canada;3.57
2021-02-05;Colombia;13.60
2021-02-12;Canada;9.29
2021-02-19;Algeria;37.92
2021-02-19;Canada;12.86
2021-02-26;Canada;12.86
2021-02-26;Greece;41.71
2021-03-12;Algeria;43.52
2021-03-12;Canada;13.86
2021-03-12;South Korea;15.09
2021-03-19;Saudi Arabia;21.43
2021-03-19;South Korea;27.12
2021-03-26;Algeria;43.08
2021-03-26;Canada;14.05
2021-04-02;Canada;3.18
2021-04-02;United States Virgin Islands;35.67
2021-04-09;Qatar;15.80
2021-04-16;United Arab Emirates;41.48
2021-04-23;Canada;46.98
2021-04-23;Kuwait;43.17
2021-04-23;South Korea;40.26
2021-04-30;Canada;8.07
2021-04-30;India;26.86
2021-04-30;United Arab Emirates;67.86
2021-05-07;Canada;5.00
2021-05-07;France;44.11
2021-05-07;Russian Federation;37.93
2021-05-14;India;77.38
