period;originCountries;quantity
2020-08;Colombia;13.81
2020-08;India;3.90
2020-08;Qatar;4.13
2020-08;South Africa;3.98
2020-08;South Korea;27.71
2020-09;Bahamas;37.24
2020-09;Canada;71.26
2020-09;Colombia;21.01
2020-09;Netherlands;6.76
2020-09;Nigeria;10.82
2020-09;Spain;8.95
2020-10;Belgium;9.11
2020-10;Canada;99.43
2020-10;China;19.31
2020-10;Colombia;43.18
2020-10;India;19.52
2020-10;Malaysia;23.97
2020-10;Netherlands;28.80
2020-10;Russian Federation;10.72
2020-10;Sweden;1.74
2020-10;Turkey;4.50
2020-10;United Arab Emirates;3.75
2020-10;United States Virgin Islands;2.95
2020-11;American Samoa;0.34
2020-11;Bahamas;13.31
2020-11;Belgium;24.22
2020-11;Canada;82.18
2020-11;Colombia;17.27
2020-11;Latvia;2.06
2020-11;Netherlands;67.36
2020-11;Nigeria;8.39
2020-11;Russian Federation;20.10
2020-11;South Korea;31.62
2020-11;Taiwan;0.62
2020-11;United Kingdom;17.45
2020-12;Belgium;63.84
2020-12;Canada;130.91
2020-12;Colombia;14.49
2020-12;India;55.81
2020-12;Netherlands;45.52
2020-12;Nigeria;21.44
2020-12;Qatar;21.03
2020-12;Russian Federation;8.21
2020-12;South Korea;10.11
2020-12;Sudan;10.41
2020-12;Taiwan;1.85
2020-12;Togo;20.54
2020-12;United Kingdom;48.26
2021-01;Bahamas;20.59
2021-01;Belgium;49.84
2021-01;Canada;104.03
2021-01;Colombia;30.24
2021-01;Malaysia;8.06
2021-01;Netherlands;34.22
2021-01;Nigeria;10.28
2021-01;Oman;25.02
2021-01;Russian Federation;20.20
2021-01;United Kingdom;30.19
2021-02;Bahamas;12.49
2021-02;Canada;130.57
2021-02;China;17.03
2021-02;Colombia;40.12
2021-02;Finland;13.57
2021-02;India;20.41
2021-02;Latvia;11.07
2021-02;Malaysia;2.04
2021-02;Netherlands;29.71
2021-02;Nigeria;23.38
2021-02;Oman;6.34
2021-02;Qatar;11.70
2021-02;South Korea;11.18
2021-02;United Kingdom;27.83
2021-02;United States Virgin Islands;10.72
2021-03;Bahamas;0.64
2021-03;Bahrain;9.97
2021-03;Belgium;71.82
2021-03;Brazil;1.25
2021-03;Canada;129.62
2021-03;Colombia;24.43
2021-03;India;39.41
2021-03;Latvia;10.71
2021-03;Netherlands;88.23
2021-03;Nigeria;12.22
2021-03;Norway;16.52
2021-03;Qatar;9.44
2021-03;Russian Federation;9.52
2021-03;Saudi Arabia;11.25
2021-03;United States Virgin Islands;2.44
2021-04;Bahamas;9.41
2021-04;Canada;98.18
2021-04;India;12.83
2021-04;Malta;9.38
2021-04;Nigeria;10.10
2021-04;Qatar;8.52
2021-04;Russian Federation;0.67
2021-04;South Korea;10.89
2021-04;Taiwan;0.57
2021-04;Togo;9.17
2021-04;United Arab Emirates;4.26
2021-04;United States Virgin Islands;5.60
2021-05;Belgium;25.60
2021-05;Canada;85.25
2021-05;China;1.13
2021-05;Colombia;29.03
2021-05;Egypt;0.62
2021-05;Netherlands;22.55
2021-05;Portugal;8.36
2021-05;Russian Federation;14.72
2021-05;Saudi Arabia;24.69
2021-05;South Korea;10.16
2021-06;Belgium;42.20
2021-06;Canada;71.07
2021-06;Colombia;23.73
2021-06;Nigeria;21.99
2021-06;Qatar;10.83
2021-06;Russian Federation;33.43
2021-06;South Korea;23.16
2021-07;Canada;71.79
2021-07;Colombia;9.67
2021-07;Netherlands;10.29
2021-07;Qatar;16.27
2021-07;South Korea;0.54
2021-07;Trinidad and Tobago;2.42
2021-08;Bahamas;5.36
2021-08;Belgium;23.23
2021-08;Canada;92.57
2021-08;Colombia;15.63
2021-08;Egypt;2.20
2021-08;Netherlands;25.55
2021-08;Nigeria;20.46
2021-08;Oman;5.37
2021-08;Qatar;11.11
2021-08;South Korea;20.96
2021-09;Belgium;31.50
2021-09;Brazil;0.88
2021-09;Canada;60.02
2021-09;Colombia;4.69
2021-09;Netherlands;25.81
2021-09;Nigeria;21.84
2021-09;Oman;17.04
2021-09;Russian Federation;23.99
2021-09;South Korea;0.99
2021-10;Belgium;22.43
2021-10;Canada;52.82
