Date;Total;Period End Date
2021-05-28;61.71;2021-05-28
2021-06-04;78.70;2021-06-04
2021-06-11;34.59;2021-06-11
2021-06-18;0.00;2021-06-18
2021-06-25;57.34;2021-06-25
2021-07-02;86.31;2021-07-02
2021-07-09;61.49;2021-07-09
2021-07-16;45.60;2021-07-16
2021-07-23;31.27;2021-07-23
2021-07-30;49.35;2021-07-30
2021-08-06;28.89;2021-08-06
2021-08-13;22.85;2021-08-13
2021-08-20;61.66;2021-08-20
2021-08-27;0.00;2021-08-27
2021-09-03;0.00;2021-09-03
2021-09-10;0.00;2021-09-10
2021-09-17;81.00;2021-09-17
2021-09-24;0.00;2021-09-24
2021-10-01;35.52;2021-10-01
2021-10-08;13.01;2021-10-08
2021-10-15;84.63;2021-10-15
2021-10-22;42.22;2021-10-22
2021-10-29;0.00;2021-10-29
2021-11-05;59.02;2021-11-05
2021-11-12;15.55;2021-11-12
2021-11-19;102.29;2021-11-19
2021-11-26;0.00;2021-11-26
2021-12-03;54.54;2021-12-03
2021-12-10;54.52;2021-12-10
2021-12-17;30.15;2021-12-17
2021-12-24;40.18;2021-12-24
2021-12-31;27.18;2021-12-31
2022-01-07;96.28;2022-01-07
2022-01-14;67.56;2022-01-14
2022-01-21;0.00;2022-01-21
2022-01-28;56.52;2022-01-28
2022-02-04;0.00;2022-02-04
2022-02-11;31.05;2022-02-11
2022-02-18;0.74;2022-02-18
2022-02-25;25.22;2022-02-25
2022-03-04;176.14;2022-03-04
2022-03-11;25.17;2022-03-11
2022-03-18;0.00;2022-03-18
2022-03-25;67.04;2022-03-25
2022-04-01;16.26;2022-04-01
2022-04-08;74.84;2022-04-08
2022-04-15;0.00;2022-04-15
2022-04-22;81.25;2022-04-22
2022-04-29;23.04;2022-04-29
2022-05-06;0.00;2022-05-06
2022-05-13;86.20;2022-05-13
2022-05-20;6.89;2022-05-20
2022-05-27;51.74;2022-05-27
2022-06-03;141.07;2022-06-03
2022-06-10;23.57;2022-06-10
2022-06-17;43.02;2022-06-17
2022-06-24;39.59;2022-06-24
2022-07-01;0.00;2022-07-01
2022-07-08;52.04;2022-07-08
2022-07-15;77.16;2022-07-15
2022-07-22;6.40;2022-07-22
2022-07-29;40.43;2022-07-29
2022-08-05;45.62;2022-08-05
2022-08-12;66.81;2022-08-12
2022-08-19;0.00;2022-08-19
2022-08-26;44.80;2022-08-26
2022-09-02;31.65;2022-09-02
2022-09-09;0.00;2022-09-09
2022-09-16;78.73;2022-09-16
2022-09-23;49.61;2022-09-23
2022-09-30;90.54;2022-09-30
2022-10-07;0.00;2022-10-07
2022-10-14;0.00;2022-10-14
2022-10-21;23.14;2022-10-21
2022-10-28;73.98;2022-10-28
2022-11-04;54.07;2022-11-04
2022-11-11;99.85;2022-11-11
2022-11-18;182.62;2022-11-18
2022-11-25;104.56;2022-11-25
2022-12-02;51.04;2022-12-02
2022-12-09;106.47;2022-12-09
2022-12-16;77.48;2022-12-16
2022-12-23;148.09;2022-12-23
2022-12-30;272.01;2022-12-30
2023-01-06;69.45;2023-01-06
2023-01-13;173.40;2023-01-13
2023-01-20;153.32;2023-01-20
2023-01-27;29.83;2023-01-27
2023-02-03;133.36;2023-02-03
2023-02-10;91.38;2023-02-10
2023-02-17;29.04;2023-02-17
2023-02-24;21.21;2023-02-24
2023-03-03;52.52;2023-03-03
2023-03-10;42.08;2023-03-10
2023-03-17;49.35;2023-03-17
2023-03-24;0.00;2023-03-24
2023-03-31;79.27;2023-03-31
2023-04-07;117.03;2023-04-07
2023-04-14;103.05;2023-04-14
2023-04-21;87.73;2023-04-21
2023-04-28;61.23;2023-04-28
2023-05-05;6.89;2023-05-05
2023-05-12;88.12;2023-05-12
2023-05-19;119.28;2023-05-19
2023-05-26;36.01;2023-05-26
2023-06-02;115.83;2023-06-02
2023-06-09;42.71;2023-06-09
2023-06-16;131.23;2023-06-16
2023-06-23;81.21;2023-06-23
2023-06-30;163.36;2023-06-30
2023-07-07;124.63;2023-07-07
2023-07-14;31.67;2023-07-14
2023-07-21;121.92;2023-07-21
2023-07-28;39.01;2023-07-28
2023-08-04;77.60;2023-08-04
2023-08-11;80.56;2023-08-11
2023-08-18;36.31;2023-08-18
2023-08-25;86.68;2023-08-25
2023-09-01;130.09;2023-09-01
2023-09-08;93.77;2023-09-08
2023-09-15;122.93;2023-09-15
2023-09-22;125.70;2023-09-22
2023-09-29;0.00;2023-09-29
2023-10-06;90.01;2023-10-06
2023-10-13;87.23;2023-10-13
2023-10-20;134.61;2023-10-20
2023-10-27;63.21;2023-10-27
2023-11-03;144.56;2023-11-03
2023-11-10;79.07;2023-11-10
2023-11-17;101.79;2023-11-17
2023-11-24;31.57;2023-11-24
2023-12-01;164.45;2023-12-01
2023-12-08;72.62;2023-12-08
2023-12-15;126.68;2023-12-15
2023-12-22;112.81;2023-12-22
2023-12-29;105.13;2023-12-29
2024-01-05;140.03;2024-01-05
2024-01-12;113.84;2024-01-12
2024-01-19;105.14;2024-01-19
2024-01-26;62.91;2024-01-26
2024-02-02;178.78;2024-02-02
2024-02-09;181.09;2024-02-09
2024-02-16;136.85;2024-02-16
2024-02-23;95.13;2024-02-23
2024-03-01;64.67;2024-03-01
2024-03-08;102.51;2024-03-08
2024-03-15;80.08;2024-03-15
2024-03-22;103.64;2024-03-22
2024-03-29;80.74;2024-03-29
2024-04-05;36.44;2024-04-05
2024-04-12;136.16;2024-04-12
2024-04-19;79.80;2024-04-19
2024-04-26;109.95;2024-04-26
2024-05-03;72.86;2024-05-03
2024-05-10;45.71;2024-05-10
2024-05-17;160.41;2024-05-17
2024-05-24;156.85;2024-05-24
2024-05-31;110.45;2024-05-31
