period;destinationTradingRegions;quantity
2024-06-21;East Coast Canada;30.62
2024-06-28;MED Zone (MED Sea+Black Sea);49.34
2024-06-28;North West Europe Zone;159.91
2024-07-05;North West Europe Zone;79.87
2024-07-19;North West Europe Zone;42.86
2024-07-26;East Coast Canada;14.09
2024-07-26;North West Europe Zone;42.86
2024-07-26;Unknown;2.52
2024-08-09;North West Europe Zone;89.82
2024-08-16;East Coast Canada;17.15
2024-08-16;North West Europe Zone;114.28
2024-08-23;North West Europe Zone;56.92
2024-08-30;East Coast Canada;36.95
2024-08-30;North West Europe Zone;45.40
2024-09-06;MED Zone (MED Sea+Black Sea);32.73
2024-09-06;North West Europe Zone;8.34
2024-09-13;MED Zone (MED Sea+Black Sea);49.34
2024-09-13;North West Europe Zone;87.79
2024-09-20;North West Europe Zone;49.35
2024-09-27;East Coast Canada;36.10
2024-10-04;North West Europe Zone;132.31
2024-10-25;Latin America;14.41
2024-12-13;Latin America;7.72
2024-12-27;East Coast Canada;39.67
2025-01-31;East Coast Canada;14.60
2025-02-28;East Coast Canada;42.86
2025-03-07;North West Europe Zone;21.66
2025-03-21;North West Europe Zone;42.86
2025-03-28;North West Europe Zone;42.86
2025-04-04;East Coast Canada;17.97
2025-06-20;North West Europe Zone;42.86
2025-06-27;North West Europe Zone;44.29
2025-07-18;East Coast Canada;16.92
2025-08-01;North West Europe Zone;42.86
2025-09-05;North West Europe Zone;43.51
2025-09-12;East Coast Canada;35.71
2025-09-26;North West Europe Zone;42.92
2025-09-26;Other North Africa;26.70
2025-10-03;North West Europe Zone;42.59
2025-10-03;Other North Africa;22.38
2025-10-10;MED Zone (MED Sea+Black Sea);46.52
2025-10-10;North West Europe Zone;42.57
2025-10-24;East Coast Canada;14.29
2025-10-24;Mideast Gulf;4.45
2025-10-24;Southern Africa;4.45
2025-10-24;Unknown;7.57
2025-11-21;East Coast Canada;14.29
2025-11-28;North West Europe Zone;42.48
2026-01-23;East Coast Canada;10.00
2026-03-27;North West Europe Zone;92.01
2026-04-03;East Coast Canada;40.05
2026-04-03;North West Europe Zone;140.71
2026-04-03;Western Africa;42.86
2026-04-10;North West Europe Zone;64.29
2026-04-10;Other North Africa;35.71
2026-04-10;Southern Africa;40.11
2026-04-17;Latin America;39.49
2026-04-17;MED Zone (MED Sea+Black Sea);47.24
2026-04-17;North West Europe Zone;89.65
2026-04-24;North West Europe Zone;118.03
2026-04-24;Other North Africa;49.35
2026-05-08;North West Europe Zone;242.86
2026-05-15;North West Europe Zone;83.36
2026-05-15;Unknown;10.71
2026-05-15;Western Africa;42.86
2026-05-22;Unknown;19.76
2026-05-22;Western Africa;27.10
2026-05-29;Southern Africa;33.33
2026-06-05;Latin America;44.41
