period;originCountries;quantity
2019-11-01;Canada;146.65
2019-11-08;Canada;156.30
2019-11-08;Colombia;40.37
2019-11-08;Japan;41.62
2019-11-08;Russian Federation;12.68
2019-11-15;Canada;147.49
2019-11-15;Colombia;63.48
2019-11-15;India;106.17
2019-11-15;Netherlands;37.99
2019-11-15;Russian Federation;24.08
2019-11-15;Trinidad and Tobago;6.92
2019-11-22;Canada;128.12
2019-11-22;Latvia;8.57
2019-11-29;Canada;109.55
2019-11-29;Latvia;38.57
2019-11-29;Spain;6.66
2019-12-06;Canada;103.49
2019-12-06;Netherlands;107.29
2019-12-06;Russian Federation;93.35
2019-12-13;Canada;163.47
2019-12-13;India;105.34
2019-12-13;Russian Federation;17.14
2019-12-20;Canada;66.50
2019-12-20;Colombia;40.50
2019-12-27;Canada;70.66
2019-12-27;India;109.46
2019-12-27;Netherlands;96.85
2020-01-03;Canada;5.61
2020-01-03;Canada;153.24
2020-01-03;Colombia;39.77
2020-01-03;India;46.97
2020-01-10;Canada;61.86
2020-01-10;Colombia;39.88
2020-01-10;India;68.35
2020-01-10;Netherlands;37.55
2020-01-17;Canada;88.83
2020-01-24;Canada;69.63
2020-01-31;Canada;145.09
2020-02-07;Canada;95.93
2020-02-14;Canada;104.36
2020-02-14;United Kingdom;23.07
2020-02-21;Canada;61.81
2020-02-28;Canada;103.66
2020-03-06;Canada;108.34
2020-03-13;Canada;92.57
2020-03-20;Canada;126.37
2020-03-27;Canada;16.86
2020-04-03;Canada;123.91
2020-04-10;Canada;120.38
2020-04-10;Russian Federation;70.88
2020-04-17;Canada;80.16
2020-04-24;Canada;138.02
2020-04-24;Spain;43.54
2020-05-01;Canada;127.10
2020-05-01;India;108.35
2020-05-01;Qatar;47.22
2020-05-01;Spain;48.14
2020-05-08;Canada;92.36
2020-05-08;Egypt;11.29
2020-05-08;Italy;18.29
2020-05-15;Canada;82.56
2020-05-15;Italy;25.04
2020-05-15;Russian Federation;40.70
2020-05-22;Canada;101.71
2020-05-29;Canada;129.57
2020-06-05;Canada;72.57
2020-06-05;Colombia;40.61
2020-06-05;India;45.58
2020-06-12;Canada;84.14
2020-06-12;Qatar;35.65
2020-06-19;Canada;93.62
2020-06-26;Canada;65.52
2020-07-03;Canada;23.43
2020-07-03;Italy;35.41
2020-07-10;Canada;79.38
2020-07-10;Colombia;17.24
2020-07-17;Canada;36.57
2020-07-24;Canada;86.20
2020-07-31;Canada;72.86
2020-08-07;Canada;35.43
2020-08-07;India;17.29
2020-08-07;South Korea;67.79
2020-08-14;Canada;35.71
2020-08-14;South Korea;27.34
2020-08-21;Bahamas;21.76
2020-08-21;Canada;23.14
2020-08-21;South Korea;27.59
2020-08-28;Canada;72.47
2020-08-28;Colombia;45.63
2020-09-04;Bahamas;43.04
2020-09-04;Canada;81.61
2020-09-04;Colombia;15.54
2020-09-04;Qatar;18.28
2020-09-04;Spain;38.36
2020-09-11;Bahamas;17.91
2020-09-11;Canada;42.86
2020-09-11;Colombia;4.59
2020-09-18;Bahamas;31.30
2020-09-18;Canada;50.09
2020-09-18;Colombia;21.10
2020-09-18;Netherlands;28.99
2020-09-18;Nigeria;46.37
2020-09-25;Bahamas;18.14
2020-09-25;Canada;122.40
2020-10-02;Bahamas;20.00
2020-10-02;Canada;100.78
2020-10-02;Colombia;32.14
2020-10-09;Canada;98.37
2020-10-09;Sweden;7.70
2020-10-16;Canada;59.48
2020-10-16;Turkey;19.94
2020-10-23;Canada;101.33
2020-10-23;Colombia;82.47
2020-10-23;Netherlands;127.55
2020-10-23;Russian Federation;47.45
2020-10-30;Canada;111.52
2020-10-30;Colombia;80.01
2020-10-30;India;86.43
2020-10-30;Malaysia;106.17
2020-10-30;United Arab Emirates;16.62
2020-11-06;Belgium;40.36
2020-11-06;Canada;51.43
2020-11-06;Latvia;8.81
2020-11-06;Netherlands;9.29
2020-11-06;Nigeria;35.95
2020-11-06;Russian Federation;38.68
2020-11-13;Canada;55.51
2020-11-13;Netherlands;37.42
2020-11-13;South Korea;77.12
2020-11-20;Bahamas;7.71
2020-11-20;Canada;76.11
2020-11-20;Colombia;63.79
2020-11-20;Netherlands;71.80
2020-11-20;Russian Federation;21.94
2020-11-27;Belgium;103.82
2020-11-27;Canada;114.52
2020-11-27;Colombia;10.22
2020-11-27;Russian Federation;25.52
2020-11-27;South Korea;50.15
2020-11-27;United Kingdom;74.77
2020-12-04;Belgium;108.50
2020-12-04;Canada;81.18
2020-12-04;Netherlands;143.05
2020-12-04;Togo;46.04
2020-12-04;United Kingdom;17.45
2020-12-11;Belgium;40.36
2020-12-11;Canada;127.13
2020-12-11;India;15.99
2020-12-11;Netherlands;39.47
2020-12-11;Nigeria;50.73
2020-12-11;Qatar;46.31
2020-12-11;Sudan;46.09
2020-12-11;United Kingdom;37.23
2020-12-18;Belgium;91.15
2020-12-18;Canada;100.49
2020-12-18;Netherlands;39.10
2020-12-18;Russian Federation;36.37
2020-12-18;United Kingdom;130.30
2020-12-25;Belgium;42.73
2020-12-25;Canada;117.30
2020-12-25;India;106.21
2020-12-25;Netherlands;21.29
2020-12-25;Qatar;46.84
2020-12-25;United Kingdom;28.77
2021-01-01;Netherlands;48.64
2021-01-01;Belgium;72.75
2021-01-01;Canada;161.85
2021-01-01;India;66.14
2021-01-01;Netherlands;78.16
2021-01-01;Nigeria;44.23
2021-01-01;Togo;44.93
2021-01-08;Belgium;63.78
2021-01-08;Canada;125.51
2021-01-08;Colombia;26.74
2021-01-08;Malaysia;35.71
2021-01-15;Bahamas;48.33
2021-01-15;Canada;80.14
2021-01-15;Netherlands;39.58
2021-01-15;Nigeria;45.52
2021-01-15;United Kingdom;37.99
2021-01-22;Belgium;40.74
2021-01-22;Canada;82.60
2021-01-22;Netherlands;71.85
2021-01-22;Oman;14.29
2021-01-22;Russian Federation;89.46
2021-01-22;United Kingdom;14.29
2021-01-29;Canada;150.29
2021-01-29;Netherlands;40.10
2021-01-29;Oman;96.52
2021-01-29;United Kingdom;64.71
2021-02-05;Canada;111.32
2021-02-05;Colombia;46.51
2021-02-05;Finland;54.29
2021-02-05;Netherlands;46.93
2021-02-05;Nigeria;44.18
2021-02-05;United Kingdom;41.00
2021-02-12;Canada;75.38
2021-02-12;Colombia;62.43
2021-02-12;India;37.01
2021-02-12;United Kingdom;18.57
2021-02-12;United States Virgin Islands;42.88
2021-02-19;Canada;153.64
2021-02-19;United Kingdom;68.45
2021-02-26;Canada;90.22
2021-02-26;China;68.12
2021-02-26;Latvia;44.29
2021-02-26;Malaysia;8.14
2021-02-26;Nigeria;49.35
