period;quantity
2023-07-28;50.41
2023-08-04;0.00
2023-08-11;0.00
2023-08-18;1.36
2023-08-25;9.73
2023-09-01;39.89
2023-09-08;34.84
2023-09-15;39.04
2023-09-22;0.00
2023-09-29;0.00
2023-10-06;0.00
2023-10-13;0.00
2023-10-20;0.00
2023-10-27;4.91
2023-11-03;0.00
2023-11-10;34.29
2023-11-17;0.00
2023-11-24;5.60
2023-12-01;0.00
2023-12-08;0.00
2023-12-15;0.00
2023-12-22;5.56
2023-12-29;0.00
2024-01-05;0.00
2024-01-12;0.00
2024-01-19;7.14
2024-01-26;0.00
2024-02-02;0.00
2024-02-09;0.00
2024-02-16;5.49
2024-02-23;0.00
2024-03-01;21.46
2024-03-08;0.00
2024-03-15;1.56
2024-03-22;0.10
2024-03-29;0.00
2024-04-05;5.06
2024-04-12;0.00
2024-04-19;0.25
2024-04-26;0.00
2024-05-03;3.99
2024-05-10;0.00
2024-05-17;13.22
2024-05-24;0.00
2024-05-31;2.95
2024-06-07;22.99
2024-06-14;0.00
2024-06-21;13.88
2024-06-28;0.00
2024-07-05;0.00
2024-07-12;32.89
2024-07-19;15.14
2024-07-26;0.00
2024-08-02;0.00
2024-08-09;28.92
2024-08-16;25.38
2024-08-23;0.00
2024-08-30;0.00
2024-09-06;0.00
2024-09-13;60.11
2024-09-20;3.32
2024-09-27;49.05
2024-10-04;23.73
2024-10-11;0.00
2024-10-18;0.00
2024-10-25;5.60
2024-11-01;8.36
2024-11-08;2.33
2024-11-15;2.63
2024-11-22;0.00
2024-11-29;6.54
2024-12-06;0.00
2024-12-13;6.53
2024-12-20;0.00
2024-12-27;0.00
2025-01-03;9.21
2025-01-10;4.17
2025-01-17;6.39
2025-01-24;0.00
2025-01-31;37.58
2025-02-07;5.00
2025-02-14;10.82
2025-02-21;3.47
2025-02-28;5.86
2025-03-07;42.88
2025-03-14;4.14
2025-03-21;0.00
2025-03-28;0.00
2025-04-04;6.43
2025-04-11;5.27
2025-04-18;3.56
2025-04-25;0.00
2025-05-02;35.17
2025-05-09;9.37
2025-05-16;48.22
2025-05-23;0.00
2025-05-30;0.00
2025-06-06;8.00
2025-06-13;0.00
2025-06-20;0.00
2025-06-27;0.00
2025-07-04;0.00
2025-07-11;24.44
2025-07-18;9.39
2025-07-25;42.85
2025-08-01;0.00
2025-08-08;6.12
2025-08-15;0.00
2025-08-22;0.40
2025-08-29;4.49
2025-09-05;49.34
2025-09-12;5.33
2025-09-19;10.31
2025-09-26;5.16
2025-10-03;23.10
2025-10-10;9.33
2025-10-17;10.18
2025-10-24;0.00
2025-10-31;0.00
2025-11-07;6.04
2025-11-14;0.00
2025-11-21;0.00
2025-11-28;0.41
2025-12-05;0.00
2025-12-12;5.23
2025-12-19;0.40
2025-12-26;0.00
2026-01-02;12.23
2026-01-09;0.00
2026-01-16;20.91
2026-01-23;0.34
2026-01-30;0.00
2026-02-06;5.39
2026-02-13;6.53
2026-02-20;0.28
2026-02-27;0.00
2026-03-06;6.81
2026-03-13;0.00
2026-03-20;24.63
2026-03-27;0.00
2026-04-03;16.85
2026-04-10;0.35
2026-04-17;0.00
2026-04-24;5.67
2026-05-01;0.00
2026-05-08;0.00
2026-05-15;0.00
2026-05-22;0.00
2026-05-29;0.00
2026-06-05;0.00
2026-06-12;0.00
2026-06-19;16.41
2026-06-26;19.50
2026-07-03;0.00
2026-07-10;19.54
2026-07-17;0.00
2026-07-24;65.02
2026-07-31;0.00
2026-08-07;0.00
2026-08-14;0.00
2026-08-21;0.00
2026-08-28;0.00
