Date;Latin America;East Coast Canada;North West Europe Zone;MED Zone (MED Sea+Black Sea);Unknown;Western Africa;West Coast Canada;Other North Africa;Oceania;Eastern Asia;Other Southern Europe;Southern Africa;Period End Date
2023-12;132.43;15.81;29.90;10.65;0.98;0;0;0;0;0;0;0;2023-12-31
2024-01;137.64;31.26;17.61;0;0;0;0;0;0;0;0;0;2024-01-31
2024-02;124.24;34.46;10.86;11.16;0;0;0;0;0;0;0;0;2024-02-29
2024-03;122.37;19.36;0;0;0;0;0;0;0;0;0;0;2024-03-31
2024-04;113.98;17.00;0;10.74;1.90;0;0;0;0;0;0;0;2024-04-30
2024-05;123.65;14.19;0;7.57;0.52;0;0;0;0;0;0;0;2024-05-31
2024-06;157.91;12.89;0;0;0;0;0;0;0;0;0;0;2024-06-30
2024-07;135.39;13.90;2.01;10.55;1.81;0;0;0;0;0;0;0;2024-07-31
2024-08;108.69;34.61;26.34;6.00;0;0;0;4.28;0;0;0;0;2024-08-31
2024-09;121.89;3.00;21.83;10.89;0;0;0;0;0;0;0;0;2024-09-30
2024-10;126.50;29.12;9.74;11.14;7.68;0;0;2.65;0;0;0;0;2024-10-31
2024-11;114.23;19.73;15.31;0;0;0;0;0;0;0;0;0;2024-11-30
2024-12;149.62;25.14;15.10;10.48;0;0;8.47;0;0;0;0;0;2024-12-31
2025-01;92.96;21.31;0;0;1.55;0;0;0;0;0;0;0;2025-01-31
2025-02;97.58;37.01;0;0;0;0;0;0;0;0;0;0;2025-02-28
2025-03;120.73;25.81;10.01;10.63;9.82;0;0;0;0;0;0;0;2025-03-31
2025-04;116.05;27.72;0;0;0;0;0;0;0;0;0;0;2025-04-30
2025-05;94.42;35.95;20.09;10.31;0;0;0;0;0;0;0;0;2025-05-31
2025-06;122.66;35.13;47.54;0;2.39;0;0;0;0;0;0;0;2025-06-30
2025-07;138.84;37.48;0;10.54;0;0;0;0;0;0;0;0;2025-07-31
2025-08;136.28;18.24;0;0;3.05;0;0;0;0;0;0;0;2025-08-31
2025-09;130.53;16.32;20.43;10.67;0;0;0;0;0;0;0;0;2025-09-30
2025-10;122.83;21.28;4.84;0;0;0;0;0;0;0;0;0;2025-10-31
2025-11;104.71;28.61;35.26;0;0;0;0;0;0;0;0;0;2025-11-30
2025-12;150.85;28.32;49.49;0;0;0;0;0;0;0;0;0;2025-12-31
2026-01;158.73;30.61;71.50;0;0;0;0;0;0;0;0;0;2026-01-31
2026-02;140.54;29.26;6.30;0;11.25;0;0;4.41;0;0;0;0;2026-02-28
2026-03;169.61;13.31;70.75;5.47;9.68;0;0;0;9.68;0;0;0;2026-03-31
2026-04;155.42;9.47;92.68;26.92;5.48;0;14.17;0;0;0;4.65;2.50;2026-04-30
2026-05;132.26;12.21;134.08;26.03;1.99;0;0;3.79;0;0;0;0;2026-05-31
2026-06;152.66;22.88;83.40;41.60;35.42;0;0;0;0;0;0;0;2026-06-30
2026-07;16.00;0;0;0;4.23;0;0;0;0;0;0;0;2026-07-31
2026-08;0;0;0;0;0;0;0;0;0;0;0;0;2026-08-31
