Date;Total;Period End Date
2021-05-28;144.19;2021-05-28
2021-06-04;147.25;2021-06-04
2021-06-11;88.75;2021-06-11
2021-06-18;170.70;2021-06-18
2021-06-25;113.36;2021-06-25
2021-07-02;209.39;2021-07-02
2021-07-09;145.25;2021-07-09
2021-07-16;141.94;2021-07-16
2021-07-23;173.46;2021-07-23
2021-07-30;219.93;2021-07-30
2021-08-06;260.35;2021-08-06
2021-08-13;116.84;2021-08-13
2021-08-20;142.45;2021-08-20
2021-08-27;207.83;2021-08-27
2021-09-03;83.56;2021-09-03
2021-09-10;44.73;2021-09-10
2021-09-17;162.10;2021-09-17
2021-09-24;159.12;2021-09-24
2021-10-01;41.30;2021-10-01
2021-10-08;116.16;2021-10-08
2021-10-15;93.25;2021-10-15
2021-10-22;168.85;2021-10-22
2021-10-29;64.13;2021-10-29
2021-11-05;85.93;2021-11-05
2021-11-12;93.95;2021-11-12
2021-11-19;74.47;2021-11-19
2021-11-26;64.13;2021-11-26
2021-12-03;85.34;2021-12-03
2021-12-10;54.00;2021-12-10
2021-12-17;31.85;2021-12-17
2021-12-24;181.31;2021-12-24
2021-12-31;58.58;2021-12-31
2022-01-07;72.31;2022-01-07
2022-01-14;86.59;2022-01-14
2022-01-21;191.05;2022-01-21
2022-01-28;44.95;2022-01-28
2022-02-04;137.97;2022-02-04
2022-02-11;134.22;2022-02-11
2022-02-18;170.07;2022-02-18
2022-02-25;128.55;2022-02-25
2022-03-04;151.78;2022-03-04
2022-03-11;132.10;2022-03-11
2022-03-18;142.70;2022-03-18
2022-03-25;200.24;2022-03-25
2022-04-01;67.95;2022-04-01
2022-04-08;186.74;2022-04-08
2022-04-15;124.88;2022-04-15
2022-04-22;140.38;2022-04-22
2022-04-29;261.80;2022-04-29
2022-05-06;225.58;2022-05-06
2022-05-13;47.48;2022-05-13
2022-05-20;158.22;2022-05-20
2022-05-27;175.73;2022-05-27
2022-06-03;163.50;2022-06-03
2022-06-10;112.93;2022-06-10
2022-06-17;117.19;2022-06-17
2022-06-24;103.27;2022-06-24
2022-07-01;189.69;2022-07-01
2022-07-08;65.74;2022-07-08
2022-07-15;142.11;2022-07-15
2022-07-22;165.70;2022-07-22
2022-07-29;90.16;2022-07-29
2022-08-05;187.62;2022-08-05
2022-08-12;117.37;2022-08-12
2022-08-19;213.34;2022-08-19
2022-08-26;93.62;2022-08-26
2022-09-02;188.19;2022-09-02
2022-09-09;82.49;2022-09-09
2022-09-16;47.29;2022-09-16
2022-09-23;185.11;2022-09-23
2022-09-30;212.58;2022-09-30
2022-10-07;65.60;2022-10-07
2022-10-14;174.05;2022-10-14
2022-10-21;119.74;2022-10-21
2022-10-28;44.50;2022-10-28
2022-11-04;152.66;2022-11-04
2022-11-11;47.68;2022-11-11
2022-11-18;72.97;2022-11-18
2022-11-25;85.01;2022-11-25
2022-12-02;95.61;2022-12-02
2022-12-09;71.27;2022-12-09
2022-12-16;114.39;2022-12-16
2022-12-23;61.83;2022-12-23
2022-12-30;56.40;2022-12-30
2023-01-06;19.41;2023-01-06
2023-01-13;123.91;2023-01-13
2023-01-20;65.85;2023-01-20
2023-01-27;45.89;2023-01-27
2023-02-03;42.57;2023-02-03
2023-02-10;48.68;2023-02-10
2023-02-17;146.76;2023-02-17
2023-02-24;114.42;2023-02-24
2023-03-03;19.41;2023-03-03
2023-03-10;0.00;2023-03-10
2023-03-17;38.82;2023-03-17
2023-03-24;45.91;2023-03-24
2023-03-31;47.29;2023-03-31
2023-04-07;133.49;2023-04-07
2023-04-14;96.49;2023-04-14
2023-04-21;19.42;2023-04-21
2023-04-28;48.70;2023-04-28
2023-05-05;112.40;2023-05-05
2023-05-12;48.70;2023-05-12
2023-05-19;48.70;2023-05-19
2023-05-26;38.83;2023-05-26
2023-06-02;91.57;2023-06-02
2023-06-09;116.85;2023-06-09
2023-06-16;83.54;2023-06-16
2023-06-23;45.66;2023-06-23
2023-06-30;60.71;2023-06-30
2023-07-07;53.48;2023-07-07
2023-07-14;39.88;2023-07-14
2023-07-21;114.42;2023-07-21
2023-07-28;40.32;2023-07-28
2023-08-04;106.49;2023-08-04
2023-08-11;68.77;2023-08-11
2023-08-18;87.37;2023-08-18
2023-08-25;97.83;2023-08-25
2023-09-01;32.80;2023-09-01
2023-09-08;110.39;2023-09-08
2023-09-15;0.00;2023-09-15
2023-09-22;27.88;2023-09-22
2023-09-29;45.66;2023-09-29
2023-10-06;56.89;2023-10-06
2023-10-13;94.89;2023-10-13
2023-10-20;73.54;2023-10-20
2023-10-27;0.00;2023-10-27
2023-11-03;74.94;2023-11-03
2023-11-10;97.90;2023-11-10
2023-11-17;45.90;2023-11-17
2023-11-24;61.29;2023-11-24
2023-12-01;75.05;2023-12-01
2023-12-08;46.44;2023-12-08
2023-12-15;8.83;2023-12-15
2023-12-22;81.21;2023-12-22
2023-12-29;83.38;2023-12-29
2024-01-05;126.22;2024-01-05
2024-01-12;10.45;2024-01-12
2024-01-19;68.75;2024-01-19
2024-01-26;20.36;2024-01-26
2024-02-02;27.88;2024-02-02
2024-02-09;6.42;2024-02-09
2024-02-16;12.55;2024-02-16
2024-02-23;82.22;2024-02-23
2024-03-01;81.81;2024-03-01
2024-03-08;80.94;2024-03-08
2024-03-15;48.52;2024-03-15
2024-03-22;123.61;2024-03-22
2024-03-29;97.06;2024-03-29
2024-04-05;76.28;2024-04-05
2024-04-12;58.57;2024-04-12
2024-04-19;26.49;2024-04-19
2024-04-26;118.46;2024-04-26
2024-05-03;18.25;2024-05-03
2024-05-10;58.73;2024-05-10
2024-05-17;39.91;2024-05-17
2024-05-24;113.83;2024-05-24
2024-05-31;85.87;2024-05-31
2024-06-07;26.49;2024-06-07
2024-06-14;113.85;2024-06-14
2024-06-21;74.56;2024-06-21
2024-06-28;61.81;2024-06-28
2024-07-05;26.49;2024-07-05
2024-07-12;13.20;2024-07-12
2024-07-19;25.09;2024-07-19
2024-07-26;34.38;2024-07-26
2024-08-02;79.61;2024-08-02
2024-08-09;85.25;2024-08-09
2024-08-16;0.00;2024-08-16
2024-08-23;28.88;2024-08-23
2024-08-30;146.78;2024-08-30
2024-09-06;110.01;2024-09-06
2024-09-13;68.39;2024-09-13
2024-09-20;101.41;2024-09-20
2024-09-27;34.47;2024-09-27
2024-10-04;82.29;2024-10-04
2024-10-11;84.85;2024-10-11
2024-10-18;9.61;2024-10-18
2024-10-25;57.79;2024-10-25
2024-11-01;86.86;2024-11-01
2024-11-08;94.77;2024-11-08
2024-11-15;14.64;2024-11-15
2024-11-22;152.83;2024-11-22
2024-11-29;106.37;2024-11-29
2024-12-06;116.38;2024-12-06
2024-12-13;139.01;2024-12-13
2024-12-20;19.41;2024-12-20
2024-12-27;173.72;2024-12-27
2025-01-03;53.02;2025-01-03
2025-01-10;87.40;2025-01-10
2025-01-17;11.15;2025-01-17
2025-01-24;68.59;2025-01-24
2025-01-31;77.97;2025-01-31
2025-02-07;112.89;2025-02-07
2025-02-14;113.99;2025-02-14
2025-02-21;68.12;2025-02-21
2025-02-28;89.91;2025-02-28
2025-03-07;33.16;2025-03-07
2025-03-14;19.41;2025-03-14
2025-03-21;84.52;2025-03-21
