Date;Total;Period End Date
2021-05-28;9.24;2021-05-28
2021-06-04;9.24;2021-06-04
2021-06-11;9.24;2021-06-11
2021-06-18;9.24;2021-06-18
2021-06-25;9.24;2021-06-25
2021-07-02;9.24;2021-07-02
2021-07-09;18.47;2021-07-09
2021-07-16;9.24;2021-07-16
2021-07-23;9.24;2021-07-23
2021-07-30;9.24;2021-07-30
2021-08-06;9.24;2021-08-06
2021-08-13;9.24;2021-08-13
2021-08-20;9.24;2021-08-20
2021-08-27;9.24;2021-08-27
2021-09-03;55.56;2021-09-03
2021-09-10;9.24;2021-09-10
2021-09-17;10.39;2021-09-17
2021-09-24;9.24;2021-09-24
2021-10-01;9.24;2021-10-01
2021-10-08;54.47;2021-10-08
2021-10-15;64.14;2021-10-15
2021-10-22;18.85;2021-10-22
2021-10-29;9.24;2021-10-29
2021-11-05;15.23;2021-11-05
2021-11-12;9.24;2021-11-12
2021-11-19;9.24;2021-11-19
2021-11-26;9.24;2021-11-26
2021-12-03;9.24;2021-12-03
2021-12-10;0.00;2021-12-10
2021-12-17;15.92;2021-12-17
2021-12-24;5.89;2021-12-24
2021-12-31;5.61;2021-12-31
2022-01-07;5.61;2022-01-07
2022-01-14;59.04;2022-01-14
2022-01-21;9.70;2022-01-21
2022-01-28;6.42;2022-01-28
2022-02-04;6.70;2022-02-04
2022-02-11;6.42;2022-02-11
2022-02-18;6.14;2022-02-18
2022-02-25;9.71;2022-02-25
2022-03-04;6.42;2022-03-04
2022-03-11;19.41;2022-03-11
2022-03-18;9.70;2022-03-18
2022-03-25;9.70;2022-03-25
2022-04-01;9.70;2022-04-01
2022-04-08;20.79;2022-04-08
2022-04-15;9.71;2022-04-15
2022-04-22;46.19;2022-04-22
2022-04-29;20.33;2022-04-29
2022-05-06;0.00;2022-05-06
2022-05-13;9.71;2022-05-13
2022-05-20;19.41;2022-05-20
2022-05-27;9.70;2022-05-27
2022-06-03;9.70;2022-06-03
2022-06-10;5.03;2022-06-10
2022-06-17;24.09;2022-06-17
2022-06-24;0.00;2022-06-24
2022-07-01;9.71;2022-07-01
2022-07-08;9.71;2022-07-08
2022-07-15;9.71;2022-07-15
2022-07-22;9.71;2022-07-22
2022-07-29;9.71;2022-07-29
2022-08-05;9.70;2022-08-05
2022-08-12;26.26;2022-08-12
2022-08-19;9.70;2022-08-19
2022-08-26;9.71;2022-08-26
2022-09-02;9.71;2022-09-02
2022-09-09;9.70;2022-09-09
2022-09-16;9.71;2022-09-16
2022-09-23;9.71;2022-09-23
2022-09-30;0.00;2022-09-30
2022-10-07;9.71;2022-10-07
2022-10-14;19.42;2022-10-14
2022-10-21;9.71;2022-10-21
2022-10-28;9.71;2022-10-28
2022-11-04;9.71;2022-11-04
2022-11-11;19.41;2022-11-11
2022-11-18;9.71;2022-11-18
2022-11-25;19.42;2022-11-25
2022-12-02;9.71;2022-12-02
2022-12-09;0.00;2022-12-09
2022-12-16;9.71;2022-12-16
2022-12-23;6.70;2022-12-23
2022-12-30;14.26;2022-12-30
2023-01-06;9.71;2023-01-06
2023-01-13;9.71;2023-01-13
2023-01-20;9.70;2023-01-20
2023-01-27;9.71;2023-01-27
2023-02-03;55.36;2023-02-03
2023-02-10;54.95;2023-02-10
2023-02-17;19.42;2023-02-17
2023-02-24;54.95;2023-02-24
2023-03-03;9.71;2023-03-03
2023-03-10;0.00;2023-03-10
2023-03-17;64.66;2023-03-17
2023-03-24;54.96;2023-03-24
2023-03-31;9.70;2023-03-31
2023-04-07;64.66;2023-04-07
2023-04-14;55.37;2023-04-14
2023-04-21;9.71;2023-04-21
2023-04-28;9.71;2023-04-28
2023-05-05;19.42;2023-05-05
2023-05-12;9.71;2023-05-12
2023-05-19;9.71;2023-05-19
2023-05-26;65.07;2023-05-26
2023-06-02;19.27;2023-06-02
2023-06-09;55.37;2023-06-09
2023-06-16;6.70;2023-06-16
2023-06-23;0.00;2023-06-23
2023-06-30;9.71;2023-06-30
2023-07-07;9.70;2023-07-07
2023-07-14;6.70;2023-07-14
2023-07-21;54.95;2023-07-21
2023-07-28;9.70;2023-07-28
2023-08-04;100.61;2023-08-04
2023-08-11;9.70;2023-08-11
2023-08-18;54.95;2023-08-18
2023-08-25;0.00;2023-08-25
2023-09-01;61.65;2023-09-01
2023-09-08;0.00;2023-09-08
2023-09-15;45.25;2023-09-15
2023-09-22;45.25;2023-09-22
