fuel2002,fuel2002TypeDescription,fuelType,fuelTypeDescription,period,plantCode,plantName,primeMover,state,stateDescription,total-consumption,total-consumption-units
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,56189,"Waterside Power, LLC",GT,CT,Connecticut,1882,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,56196,500MW CC,ALL,NY,New York,111743,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,56196,500MW CC,CA,NY,New York,0,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,56196,500MW CC,CT,NY,New York,111743,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,56234,Caithness Long Island Energy Center,ALL,NY,New York,0,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,56234,Caithness Long Island Energy Center,CA,NY,New York,0,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,56234,Caithness Long Island Energy Center,CT,NY,New York,0,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,56259,Empire Generating Co LLC,ALL,NY,New York,0,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,56259,Empire Generating Co LLC,CA,NY,New York,0,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,56259,Empire Generating Co LLC,CT,NY,New York,0,barrels
