fuel2002,fuel2002TypeDescription,fuelType,fuelTypeDescription,period,plantCode,plantName,primeMover,state,stateDescription,total-consumption,total-consumption-units
RFO,Residual Fuel Oil,RFO,Residual Fuel Oil,2018-01,54236,Pfizer Groton Plant,ALL,CT,Connecticut,0,barrels
RFO,Residual Fuel Oil,RFO,Residual Fuel Oil,2018-01,54236,Pfizer Groton Plant,GT,CT,Connecticut,0,barrels
RFO,Residual Fuel Oil,RFO,Residual Fuel Oil,2018-01,54250,Newman (PA),ALL,PA,Pennsylvania,7,barrels
RFO,Residual Fuel Oil,RFO,Residual Fuel Oil,2018-01,54250,Newman (PA),ST,PA,Pennsylvania,7,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,54304,Birchwood Power,ALL,VA,Virginia,602,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,54304,Birchwood Power,ST,VA,Virginia,602,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,54324,Ocean State Power II,ALL,RI,Rhode Island,31392,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,54324,Ocean State Power II,CA,RI,Rhode Island,0,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,54324,Ocean State Power II,CT,RI,Rhode Island,31392,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,54333,Bucknell University,ALL,PA,Pennsylvania,0,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,54333,Bucknell University,CA,PA,Pennsylvania,0,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,54333,Bucknell University,CT,PA,Pennsylvania,0,barrels
RFO,Residual Fuel Oil,RFO,Residual Fuel Oil,2018-01,54409,Dartmouth College Heating Plant,ALL,NH,New Hampshire,11978,barrels
RFO,Residual Fuel Oil,RFO,Residual Fuel Oil,2018-01,54409,Dartmouth College Heating Plant,ST,NH,New Hampshire,11978,barrels
