fueltype,period,respondent,respondent-name,timezone,timezone-description,type-name,value,value-units
OIL,2019-02-02,NE,New England,Central,Central,Petroleum,1,megawatthours
OIL,2019-02-03,MIDA,Mid-Atlantic,Central,Central,Petroleum,5101,megawatthours
OIL,2019-02-03,NE,New England,Central,Central,Petroleum,0,megawatthours
OIL,2019-02-04,MIDA,Mid-Atlantic,Central,Central,Petroleum,4972,megawatthours
OIL,2019-02-04,NE,New England,Central,Central,Petroleum,0,megawatthours
OIL,2019-02-05,MIDA,Mid-Atlantic,Central,Central,Petroleum,4725,megawatthours
OIL,2019-02-05,NE,New England,Central,Central,Petroleum,0,megawatthours
OIL,2019-02-06,MIDA,Mid-Atlantic,Central,Central,Petroleum,4901,megawatthours
OIL,2019-02-06,NE,New England,Central,Central,Petroleum,41,megawatthours
OIL,2019-02-07,MIDA,Mid-Atlantic,Central,Central,Petroleum,5185,megawatthours
OIL,2019-02-07,NE,New England,Central,Central,Petroleum,0,megawatthours
OIL,2019-02-08,MIDA,Mid-Atlantic,Central,Central,Petroleum,5188,megawatthours
OIL,2019-02-08,NE,New England,Central,Central,Petroleum,0,megawatthours
OIL,2019-02-09,MIDA,Mid-Atlantic,Central,Central,Petroleum,4961,megawatthours
OIL,2019-02-09,NE,New England,Central,Central,Petroleum,149,megawatthours
OIL,2019-02-10,MIDA,Mid-Atlantic,Central,Central,Petroleum,5159,megawatthours
OIL,2019-02-10,NE,New England,Central,Central,Petroleum,0,megawatthours
OIL,2019-02-11,MIDA,Mid-Atlantic,Central,Central,Petroleum,5225,megawatthours
OIL,2019-02-11,NE,New England,Central,Central,Petroleum,0,megawatthours
OIL,2019-02-12,MIDA,Mid-Atlantic,Central,Central,Petroleum,2386,megawatthours
OIL,2019-02-12,NE,New England,Central,Central,Petroleum,244,megawatthours
OIL,2019-02-13,MIDA,Mid-Atlantic,Central,Central,Petroleum,5266,megawatthours
OIL,2019-02-13,NE,New England,Central,Central,Petroleum,419,megawatthours
OIL,2019-02-14,MIDA,Mid-Atlantic,Central,Central,Petroleum,3509,megawatthours
OIL,2019-02-14,NE,New England,Central,Central,Petroleum,341,megawatthours
OIL,2019-02-15,MIDA,Mid-Atlantic,Central,Central,Petroleum,1888,megawatthours
OIL,2019-02-15,NE,New England,Central,Central,Petroleum,528,megawatthours
OIL,2019-02-16,MIDA,Mid-Atlantic,Central,Central,Petroleum,1816,megawatthours
OIL,2019-02-16,NE,New England,Central,Central,Petroleum,199,megawatthours
OIL,2019-02-17,MIDA,Mid-Atlantic,Central,Central,Petroleum,2986,megawatthours
OIL,2019-02-17,NE,New England,Central,Central,Petroleum,293,megawatthours
OIL,2019-02-18,MIDA,Mid-Atlantic,Central,Central,Petroleum,2022,megawatthours
OIL,2019-02-18,NE,New England,Central,Central,Petroleum,269,megawatthours
OIL,2019-02-19,MIDA,Mid-Atlantic,Central,Central,Petroleum,3777,megawatthours
OIL,2019-02-19,NE,New England,Central,Central,Petroleum,214,megawatthours
OIL,2019-02-20,MIDA,Mid-Atlantic,Central,Central,Petroleum,3386,megawatthours
OIL,2019-02-20,NE,New England,Central,Central,Petroleum,385,megawatthours
OIL,2019-02-21,MIDA,Mid-Atlantic,Central,Central,Petroleum,2848,megawatthours
OIL,2019-02-21,NE,New England,Central,Central,Petroleum,5,megawatthours
OIL,2019-02-22,MIDA,Mid-Atlantic,Central,Central,Petroleum,2539,megawatthours
OIL,2019-02-22,NE,New England,Central,Central,Petroleum,132,megawatthours
OIL,2019-02-23,MIDA,Mid-Atlantic,Central,Central,Petroleum,5103,megawatthours
OIL,2019-02-23,NE,New England,Central,Central,Petroleum,424,megawatthours
OIL,2019-02-24,MIDA,Mid-Atlantic,Central,Central,Petroleum,5179,megawatthours
OIL,2019-02-24,NE,New England,Central,Central,Petroleum,202,megawatthours
OIL,2019-02-25,MIDA,Mid-Atlantic,Central,Central,Petroleum,5145,megawatthours
OIL,2019-02-25,NE,New England,Central,Central,Petroleum,98,megawatthours
OIL,2019-02-26,MIDA,Mid-Atlantic,Central,Central,Petroleum,5321,megawatthours
OIL,2019-02-26,NE,New England,Central,Central,Petroleum,0,megawatthours
OIL,2019-02-27,MIDA,Mid-Atlantic,Central,Central,Petroleum,5312,megawatthours
