fueltype,period,respondent,respondent-name,type-name,value,value-units
OIL,2026-07-05T18,MIDA,Mid-Atlantic,Petroleum,1077,megawatthours
OIL,2026-07-05T18,NE,New England,Petroleum,23,megawatthours
OIL,2026-07-05T17,MIDA,Mid-Atlantic,Petroleum,696,megawatthours
OIL,2026-07-05T17,NE,New England,Petroleum,23,megawatthours
OIL,2026-07-05T16,MIDA,Mid-Atlantic,Petroleum,863,megawatthours
OIL,2026-07-05T16,NE,New England,Petroleum,23,megawatthours
OIL,2026-07-05T15,MIDA,Mid-Atlantic,Petroleum,771,megawatthours
OIL,2026-07-05T15,NE,New England,Petroleum,24,megawatthours
OIL,2026-07-05T14,MIDA,Mid-Atlantic,Petroleum,441,megawatthours
OIL,2026-07-05T14,NE,New England,Petroleum,24,megawatthours
OIL,2026-07-05T13,MIDA,Mid-Atlantic,Petroleum,444,megawatthours
OIL,2026-07-05T13,NE,New England,Petroleum,24,megawatthours
OIL,2026-07-05T12,MIDA,Mid-Atlantic,Petroleum,446,megawatthours
OIL,2026-07-05T12,NE,New England,Petroleum,24,megawatthours
OIL,2026-07-05T11,MIDA,Mid-Atlantic,Petroleum,448,megawatthours
OIL,2026-07-05T11,NE,New England,Petroleum,24,megawatthours
OIL,2026-07-05T10,MIDA,Mid-Atlantic,Petroleum,448,megawatthours
OIL,2026-07-05T10,NE,New England,Petroleum,24,megawatthours
OIL,2026-07-05T09,MIDA,Mid-Atlantic,Petroleum,449,megawatthours
OIL,2026-07-05T09,NE,New England,Petroleum,24,megawatthours
OIL,2026-07-05T08,MIDA,Mid-Atlantic,Petroleum,446,megawatthours
OIL,2026-07-05T08,NE,New England,Petroleum,82,megawatthours
OIL,2026-07-05T07,MIDA,Mid-Atlantic,Petroleum,442,megawatthours
OIL,2026-07-05T07,NE,New England,Petroleum,149,megawatthours
OIL,2026-07-05T06,MIDA,Mid-Atlantic,Petroleum,440,megawatthours
OIL,2026-07-05T06,NE,New England,Petroleum,247,megawatthours
OIL,2026-07-05T05,MIDA,Mid-Atlantic,Petroleum,528,megawatthours
OIL,2026-07-05T05,NE,New England,Petroleum,23,megawatthours
OIL,2026-07-05T04,MIDA,Mid-Atlantic,Petroleum,1949,megawatthours
OIL,2026-07-05T04,NE,New England,Petroleum,23,megawatthours
OIL,2026-07-05T03,MIDA,Mid-Atlantic,Petroleum,2408,megawatthours
OIL,2026-07-05T03,NE,New England,Petroleum,23,megawatthours
OIL,2026-07-05T02,MIDA,Mid-Atlantic,Petroleum,2936,megawatthours
OIL,2026-07-05T02,NE,New England,Petroleum,23,megawatthours
OIL,2026-07-05T01,MIDA,Mid-Atlantic,Petroleum,3436,megawatthours
OIL,2026-07-05T01,NE,New England,Petroleum,23,megawatthours
OIL,2026-07-05T00,MIDA,Mid-Atlantic,Petroleum,3935,megawatthours
OIL,2026-07-05T00,NE,New England,Petroleum,23,megawatthours
OIL,2026-07-04T23,MIDA,Mid-Atlantic,Petroleum,4579,megawatthours
OIL,2026-07-04T23,NE,New England,Petroleum,23,megawatthours
OIL,2026-07-04T22,MIDA,Mid-Atlantic,Petroleum,5020,megawatthours
OIL,2026-07-04T22,NE,New England,Petroleum,23,megawatthours
OIL,2026-07-04T21,MIDA,Mid-Atlantic,Petroleum,4683,megawatthours
OIL,2026-07-04T21,NE,New England,Petroleum,23,megawatthours
OIL,2026-07-04T20,MIDA,Mid-Atlantic,Petroleum,3946,megawatthours
OIL,2026-07-04T20,NE,New England,Petroleum,23,megawatthours
OIL,2026-07-04T19,MIDA,Mid-Atlantic,Petroleum,3411,megawatthours
OIL,2026-07-04T19,NE,New England,Petroleum,23,megawatthours
OIL,2026-07-04T18,MIDA,Mid-Atlantic,Petroleum,3081,megawatthours
OIL,2026-07-04T18,NE,New England,Petroleum,23,megawatthours
OIL,2026-07-04T17,MIDA,Mid-Atlantic,Petroleum,2581,megawatthours
OIL,2026-07-04T17,NE,New England,Petroleum,23,megawatthours
OIL,2026-07-04T16,MIDA,Mid-Atlantic,Petroleum,2598,megawatthours
OIL,2026-07-04T16,NE,New England,Petroleum,23,megawatthours
OIL,2026-07-04T15,MIDA,Mid-Atlantic,Petroleum,2021,megawatthours
OIL,2026-07-04T15,NE,New England,Petroleum,24,megawatthours
OIL,2026-07-04T14,MIDA,Mid-Atlantic,Petroleum,1180,megawatthours
OIL,2026-07-04T14,NE,New England,Petroleum,24,megawatthours
OIL,2026-07-04T13,MIDA,Mid-Atlantic,Petroleum,1156,megawatthours
OIL,2026-07-04T13,NE,New England,Petroleum,24,megawatthours
OIL,2026-07-04T12,MIDA,Mid-Atlantic,Petroleum,1094,megawatthours
OIL,2026-07-04T12,NE,New England,Petroleum,24,megawatthours
OIL,2026-07-04T11,MIDA,Mid-Atlantic,Petroleum,953,megawatthours
OIL,2026-07-04T11,NE,New England,Petroleum,24,megawatthours
OIL,2026-07-04T10,MIDA,Mid-Atlantic,Petroleum,896,megawatthours
OIL,2026-07-04T10,NE,New England,Petroleum,24,megawatthours
OIL,2026-07-04T09,MIDA,Mid-Atlantic,Petroleum,1048,megawatthours
OIL,2026-07-04T09,NE,New England,Petroleum,24,megawatthours
OIL,2026-07-04T08,MIDA,Mid-Atlantic,Petroleum,1404,megawatthours
OIL,2026-07-04T08,NE,New England,Petroleum,82,megawatthours
OIL,2026-07-04T07,MIDA,Mid-Atlantic,Petroleum,1829,megawatthours
OIL,2026-07-04T07,NE,New England,Petroleum,149,megawatthours
OIL,2026-07-04T06,MIDA,Mid-Atlantic,Petroleum,2155,megawatthours
OIL,2026-07-04T06,NE,New England,Petroleum,247,megawatthours
OIL,2026-07-04T05,MIDA,Mid-Atlantic,Petroleum,2810,megawatthours
OIL,2026-07-04T05,NE,New England,Petroleum,384,megawatthours
OIL,2026-07-04T04,MIDA,Mid-Atlantic,Petroleum,3454,megawatthours
OIL,2026-07-04T04,NE,New England,Petroleum,562,megawatthours
OIL,2026-07-04T03,MIDA,Mid-Atlantic,Petroleum,3751,megawatthours
OIL,2026-07-04T03,NE,New England,Petroleum,959,megawatthours
OIL,2026-07-04T02,MIDA,Mid-Atlantic,Petroleum,4607,megawatthours
OIL,2026-07-04T02,NE,New England,Petroleum,1284,megawatthours
OIL,2026-07-04T01,MIDA,Mid-Atlantic,Petroleum,5356,megawatthours
OIL,2026-07-04T01,NE,New England,Petroleum,1737,megawatthours
OIL,2026-07-04T00,MIDA,Mid-Atlantic,Petroleum,6519,megawatthours
OIL,2026-07-04T00,NE,New England,Petroleum,2013,megawatthours
OIL,2026-07-03T23,MIDA,Mid-Atlantic,Petroleum,6243,megawatthours
OIL,2026-07-03T23,NE,New England,Petroleum,1471,megawatthours
OIL,2026-07-03T22,MIDA,Mid-Atlantic,Petroleum,5261,megawatthours
OIL,2026-07-03T22,NE,New England,Petroleum,1126,megawatthours
OIL,2026-07-03T21,MIDA,Mid-Atlantic,Petroleum,4514,megawatthours
OIL,2026-07-03T21,NE,New England,Petroleum,1016,megawatthours
OIL,2026-07-03T20,MIDA,Mid-Atlantic,Petroleum,4528,megawatthours
OIL,2026-07-03T20,NE,New England,Petroleum,995,megawatthours
OIL,2026-07-03T19,MIDA,Mid-Atlantic,Petroleum,4159,megawatthours
OIL,2026-07-03T19,NE,New England,Petroleum,933,megawatthours
OIL,2026-07-03T18,MIDA,Mid-Atlantic,Petroleum,3257,megawatthours
OIL,2026-07-03T18,NE,New England,Petroleum,711,megawatthours
OIL,2026-07-03T17,MIDA,Mid-Atlantic,Petroleum,2611,megawatthours
OIL,2026-07-03T17,NE,New England,Petroleum,476,megawatthours
OIL,2026-07-03T16,MIDA,Mid-Atlantic,Petroleum,2258,megawatthours
OIL,2026-07-03T16,NE,New England,Petroleum,438,megawatthours
OIL,2026-07-03T15,MIDA,Mid-Atlantic,Petroleum,1299,megawatthours
OIL,2026-07-03T15,NE,New England,Petroleum,373,megawatthours
OIL,2026-07-03T14,MIDA,Mid-Atlantic,Petroleum,1120,megawatthours
OIL,2026-07-03T14,NE,New England,Petroleum,350,megawatthours
OIL,2026-07-03T13,MIDA,Mid-Atlantic,Petroleum,1111,megawatthours
OIL,2026-07-03T13,NE,New England,Petroleum,349,megawatthours
OIL,2026-07-03T12,MIDA,Mid-Atlantic,Petroleum,1042,megawatthours
OIL,2026-07-03T12,NE,New England,Petroleum,350,megawatthours
OIL,2026-07-03T11,MIDA,Mid-Atlantic,Petroleum,1033,megawatthours
OIL,2026-07-03T11,NE,New England,Petroleum,349,megawatthours
OIL,2026-07-03T10,MIDA,Mid-Atlantic,Petroleum,1089,megawatthours
OIL,2026-07-03T10,NE,New England,Petroleum,346,megawatthours
OIL,2026-07-03T09,MIDA,Mid-Atlantic,Petroleum,1121,megawatthours
OIL,2026-07-03T09,NE,New England,Petroleum,346,megawatthours
OIL,2026-07-03T08,MIDA,Mid-Atlantic,Petroleum,1118,megawatthours
OIL,2026-07-03T08,NE,New England,Petroleum,346,megawatthours
OIL,2026-07-03T07,MIDA,Mid-Atlantic,Petroleum,1144,megawatthours
OIL,2026-07-03T07,NE,New England,Petroleum,359,megawatthours
OIL,2026-07-03T06,MIDA,Mid-Atlantic,Petroleum,1602,megawatthours
OIL,2026-07-03T06,NE,New England,Petroleum,396,megawatthours
OIL,2026-07-03T05,MIDA,Mid-Atlantic,Petroleum,2728,megawatthours
OIL,2026-07-03T05,NE,New England,Petroleum,435,megawatthours
