period,respondent,respondent-name,type,type-name,value,value-units
2026-08-11T06,NE,New England,NG,Net generation,14289,megawatthours
2026-08-11T06,NE,New England,TI,Total interchange,-697,megawatthours
2026-08-11T05,MIDA,Mid-Atlantic,D,Demand,104850,megawatthours
2026-08-11T05,MIDA,Mid-Atlantic,DF,Day-ahead demand forecast,100112,megawatthours
2026-08-11T05,MIDA,Mid-Atlantic,NG,Net generation,112084,megawatthours
2026-08-11T05,MIDA,Mid-Atlantic,TI,Total interchange,8256,megawatthours
2026-08-11T05,NE,New England,D,Demand,15220,megawatthours
2026-08-11T05,NE,New England,DF,Day-ahead demand forecast,14920,megawatthours
2026-08-11T05,NE,New England,NG,Net generation,14567,megawatthours
2026-08-11T05,NE,New England,TI,Total interchange,-653,megawatthours
2026-08-11T04,MIDA,Mid-Atlantic,D,Demand,110293,megawatthours
2026-08-11T04,MIDA,Mid-Atlantic,DF,Day-ahead demand forecast,107830,megawatthours
2026-08-11T04,MIDA,Mid-Atlantic,NG,Net generation,118569,megawatthours
2026-08-11T04,MIDA,Mid-Atlantic,TI,Total interchange,3778,megawatthours
2026-08-11T04,NE,New England,D,Demand,16033,megawatthours
2026-08-11T04,NE,New England,DF,Day-ahead demand forecast,16220,megawatthours
2026-08-11T04,NE,New England,NG,Net generation,15325,megawatthours
2026-08-11T04,NE,New England,TI,Total interchange,-708,megawatthours
2026-08-11T03,MIDA,Mid-Atlantic,D,Demand,116964,megawatthours
2026-08-11T03,MIDA,Mid-Atlantic,DF,Day-ahead demand forecast,114779,megawatthours
2026-08-11T03,MIDA,Mid-Atlantic,NG,Net generation,125660,megawatthours
2026-08-11T03,MIDA,Mid-Atlantic,TI,Total interchange,3224,megawatthours
2026-08-11T03,NE,New England,D,Demand,17379,megawatthours
2026-08-11T03,NE,New England,DF,Day-ahead demand forecast,17590,megawatthours
2026-08-11T03,NE,New England,NG,Net generation,16342,megawatthours
2026-08-11T03,NE,New England,TI,Total interchange,-1037,megawatthours
2026-08-11T02,MIDA,Mid-Atlantic,D,Demand,124416,megawatthours
2026-08-11T02,MIDA,Mid-Atlantic,DF,Day-ahead demand forecast,122920,megawatthours
2026-08-11T02,MIDA,Mid-Atlantic,NG,Net generation,133066,megawatthours
2026-08-11T02,MIDA,Mid-Atlantic,TI,Total interchange,2539,megawatthours
2026-08-11T02,NE,New England,D,Demand,18810,megawatthours
2026-08-11T02,NE,New England,DF,Day-ahead demand forecast,18880,megawatthours
2026-08-11T02,NE,New England,NG,Net generation,17270,megawatthours
2026-08-11T02,NE,New England,TI,Total interchange,-1540,megawatthours
2026-08-11T01,MIDA,Mid-Atlantic,D,Demand,128933,megawatthours
2026-08-11T01,MIDA,Mid-Atlantic,DF,Day-ahead demand forecast,130605,megawatthours
2026-08-11T01,MIDA,Mid-Atlantic,NG,Net generation,138125,megawatthours
2026-08-11T01,MIDA,Mid-Atlantic,TI,Total interchange,2521,megawatthours
2026-08-11T01,NE,New England,D,Demand,19918,megawatthours
2026-08-11T01,NE,New England,DF,Day-ahead demand forecast,20090,megawatthours
2026-08-11T01,NE,New England,NG,Net generation,17603,megawatthours
2026-08-11T01,NE,New England,TI,Total interchange,-2315,megawatthours
2026-08-11T00,MIDA,Mid-Atlantic,D,Demand,132263,megawatthours
2026-08-11T00,MIDA,Mid-Atlantic,DF,Day-ahead demand forecast,136113,megawatthours
2026-08-11T00,MIDA,Mid-Atlantic,NG,Net generation,140162,megawatthours
2026-08-11T00,MIDA,Mid-Atlantic,TI,Total interchange,1669,megawatthours
2026-08-11T00,NE,New England,D,Demand,20241,megawatthours
2026-08-11T00,NE,New England,DF,Day-ahead demand forecast,20640,megawatthours
2026-08-11T00,NE,New England,NG,Net generation,18139,megawatthours
2026-08-11T00,NE,New England,TI,Total interchange,-2102,megawatthours
2026-08-10T23,MIDA,Mid-Atlantic,D,Demand,136474,megawatthours
2026-08-10T23,MIDA,Mid-Atlantic,DF,Day-ahead demand forecast,140899,megawatthours
2026-08-10T23,MIDA,Mid-Atlantic,NG,Net generation,142748,megawatthours
2026-08-10T23,MIDA,Mid-Atlantic,TI,Total interchange,1251,megawatthours
2026-08-10T23,NE,New England,D,Demand,20658,megawatthours
2026-08-10T23,NE,New England,DF,Day-ahead demand forecast,20800,megawatthours
2026-08-10T23,NE,New England,NG,Net generation,18662,megawatthours
2026-08-10T23,NE,New England,TI,Total interchange,-1996,megawatthours
2026-08-10T22,MIDA,Mid-Atlantic,D,Demand,139675,megawatthours
2026-08-10T22,MIDA,Mid-Atlantic,DF,Day-ahead demand forecast,145069,megawatthours
2026-08-10T22,MIDA,Mid-Atlantic,NG,Net generation,145498,megawatthours
2026-08-10T22,MIDA,Mid-Atlantic,TI,Total interchange,1175,megawatthours
2026-08-10T22,NE,New England,D,Demand,20339,megawatthours
2026-08-10T22,NE,New England,DF,Day-ahead demand forecast,20430,megawatthours
2026-08-10T22,NE,New England,NG,Net generation,19124,megawatthours
2026-08-10T22,NE,New England,TI,Total interchange,-1215,megawatthours
2026-08-10T21,MIDA,Mid-Atlantic,D,Demand,142448,megawatthours
2026-08-10T21,MIDA,Mid-Atlantic,DF,Day-ahead demand forecast,147399,megawatthours
2026-08-10T21,MIDA,Mid-Atlantic,NG,Net generation,146894,megawatthours
2026-08-10T21,MIDA,Mid-Atlantic,TI,Total interchange,738,megawatthours
2026-08-10T21,NE,New England,D,Demand,19357,megawatthours
2026-08-10T21,NE,New England,DF,Day-ahead demand forecast,19450,megawatthours
2026-08-10T21,NE,New England,NG,Net generation,18712,megawatthours
2026-08-10T21,NE,New England,TI,Total interchange,-645,megawatthours
2026-08-10T20,MIDA,Mid-Atlantic,D,Demand,142248,megawatthours
2026-08-10T20,MIDA,Mid-Atlantic,DF,Day-ahead demand forecast,147521,megawatthours
2026-08-10T20,MIDA,Mid-Atlantic,NG,Net generation,146667,megawatthours
2026-08-10T20,MIDA,Mid-Atlantic,TI,Total interchange,45,megawatthours
2026-08-10T20,NE,New England,D,Demand,17844,megawatthours
2026-08-10T20,NE,New England,DF,Day-ahead demand forecast,17930,megawatthours
2026-08-10T20,NE,New England,NG,Net generation,17100,megawatthours
2026-08-10T20,NE,New England,TI,Total interchange,-744,megawatthours
2026-08-10T19,MIDA,Mid-Atlantic,D,Demand,139115,megawatthours
2026-08-10T19,MIDA,Mid-Atlantic,DF,Day-ahead demand forecast,146815,megawatthours
2026-08-10T19,MIDA,Mid-Atlantic,NG,Net generation,143462,megawatthours
2026-08-10T19,MIDA,Mid-Atlantic,TI,Total interchange,336,megawatthours
2026-08-10T19,NE,New England,D,Demand,16533,megawatthours
2026-08-10T19,NE,New England,DF,Day-ahead demand forecast,16610,megawatthours
2026-08-10T19,NE,New England,NG,Net generation,16622,megawatthours
2026-08-10T19,NE,New England,TI,Total interchange,89,megawatthours
2026-08-10T18,MIDA,Mid-Atlantic,D,Demand,134413,megawatthours
2026-08-10T18,MIDA,Mid-Atlantic,DF,Day-ahead demand forecast,145032,megawatthours
2026-08-10T18,MIDA,Mid-Atlantic,NG,Net generation,137836,megawatthours
2026-08-10T18,MIDA,Mid-Atlantic,TI,Total interchange,63,megawatthours
2026-08-10T18,NE,New England,D,Demand,15688,megawatthours
2026-08-10T18,NE,New England,DF,Day-ahead demand forecast,15730,megawatthours
2026-08-10T18,NE,New England,NG,Net generation,16030,megawatthours
2026-08-10T18,NE,New England,TI,Total interchange,342,megawatthours
2026-08-10T17,MIDA,Mid-Atlantic,D,Demand,129440,megawatthours
2026-08-10T17,MIDA,Mid-Atlantic,DF,Day-ahead demand forecast,141590,megawatthours
2026-08-10T17,MIDA,Mid-Atlantic,NG,Net generation,132071,megawatthours
2026-08-10T17,MIDA,Mid-Atlantic,TI,Total interchange,656,megawatthours
2026-08-10T17,NE,New England,D,Demand,15114,megawatthours
2026-08-10T17,NE,New England,DF,Day-ahead demand forecast,15130,megawatthours
2026-08-10T17,NE,New England,NG,Net generation,15950,megawatthours
2026-08-10T17,NE,New England,TI,Total interchange,836,megawatthours
2026-08-10T16,MIDA,Mid-Atlantic,D,Demand,124770,megawatthours
2026-08-10T16,MIDA,Mid-Atlantic,DF,Day-ahead demand forecast,136262,megawatthours
2026-08-10T16,MIDA,Mid-Atlantic,NG,Net generation,128247,megawatthours
2026-08-10T16,MIDA,Mid-Atlantic,TI,Total interchange,661,megawatthours
2026-08-10T16,NE,New England,D,Demand,14317,megawatthours
2026-08-10T16,NE,New England,DF,Day-ahead demand forecast,14320,megawatthours
2026-08-10T16,NE,New England,NG,Net generation,14979,megawatthours
2026-08-10T16,NE,New England,TI,Total interchange,662,megawatthours
2026-08-10T15,MIDA,Mid-Atlantic,D,Demand,119349,megawatthours
2026-08-10T15,MIDA,Mid-Atlantic,DF,Day-ahead demand forecast,129888,megawatthours
2026-08-10T15,MIDA,Mid-Atlantic,NG,Net generation,122883,megawatthours
2026-08-10T15,MIDA,Mid-Atlantic,TI,Total interchange,309,megawatthours
2026-08-10T15,NE,New England,D,Demand,14107,megawatthours
2026-08-10T15,NE,New England,DF,Day-ahead demand forecast,14030,megawatthours
2026-08-10T15,NE,New England,NG,Net generation,14634,megawatthours
2026-08-10T15,NE,New England,TI,Total interchange,527,megawatthours
2026-08-10T14,MIDA,Mid-Atlantic,D,Demand,114369,megawatthours
2026-08-10T14,MIDA,Mid-Atlantic,DF,Day-ahead demand forecast,123195,megawatthours
2026-08-10T14,MIDA,Mid-Atlantic,NG,Net generation,118676,megawatthours
2026-08-10T14,MIDA,Mid-Atlantic,TI,Total interchange,-38,megawatthours
2026-08-10T14,NE,New England,D,Demand,14212,megawatthours
2026-08-10T14,NE,New England,DF,Day-ahead demand forecast,13990,megawatthours
2026-08-10T14,NE,New England,NG,Net generation,14134,megawatthours
2026-08-10T14,NE,New England,TI,Total interchange,-78,megawatthours
2026-08-10T13,MIDA,Mid-Atlantic,D,Demand,110374,megawatthours
2026-08-10T13,MIDA,Mid-Atlantic,DF,Day-ahead demand forecast,116521,megawatthours
2026-08-10T13,MIDA,Mid-Atlantic,NG,Net generation,114875,megawatthours
2026-08-10T13,MIDA,Mid-Atlantic,TI,Total interchange,-396,megawatthours
2026-08-10T13,NE,New England,D,Demand,14353,megawatthours
2026-08-10T13,NE,New England,DF,Day-ahead demand forecast,14280,megawatthours
2026-08-10T13,NE,New England,NG,Net generation,13865,megawatthours
2026-08-10T13,NE,New England,TI,Total interchange,-488,megawatthours
2026-08-10T12,MIDA,Mid-Atlantic,D,Demand,107142,megawatthours
2026-08-10T12,MIDA,Mid-Atlantic,DF,Day-ahead demand forecast,110443,megawatthours
2026-08-10T12,MIDA,Mid-Atlantic,NG,Net generation,111902,megawatthours
2026-08-10T12,MIDA,Mid-Atlantic,TI,Total interchange,-141,megawatthours
2026-08-10T12,NE,New England,D,Demand,14218,megawatthours
2026-08-10T12,NE,New England,DF,Day-ahead demand forecast,14220,megawatthours
2026-08-10T12,NE,New England,NG,Net generation,13623,megawatthours
2026-08-10T12,NE,New England,TI,Total interchange,-595,megawatthours
2026-08-10T11,MIDA,Mid-Atlantic,D,Demand,103356,megawatthours
2026-08-10T11,MIDA,Mid-Atlantic,DF,Day-ahead demand forecast,104927,megawatthours
2026-08-10T11,MIDA,Mid-Atlantic,NG,Net generation,108559,megawatthours
2026-08-10T11,MIDA,Mid-Atlantic,TI,Total interchange,133,megawatthours
2026-08-10T11,NE,New England,D,Demand,14005,megawatthours
2026-08-10T11,NE,New England,DF,Day-ahead demand forecast,13770,megawatthours
2026-08-10T11,NE,New England,NG,Net generation,13100,megawatthours
2026-08-10T11,NE,New England,TI,Total interchange,-905,megawatthours
2026-08-10T10,MIDA,Mid-Atlantic,D,Demand,99368,megawatthours
2026-08-10T10,MIDA,Mid-Atlantic,DF,Day-ahead demand forecast,99853,megawatthours
2026-08-10T10,MIDA,Mid-Atlantic,NG,Net generation,104801,megawatthours
2026-08-10T10,MIDA,Mid-Atlantic,TI,Total interchange,62,megawatthours
2026-08-10T10,NE,New England,D,Demand,14040,megawatthours
2026-08-10T10,NE,New England,DF,Day-ahead demand forecast,13220,megawatthours
2026-08-10T10,NE,New England,NG,Net generation,13003,megawatthours
2026-08-10T10,NE,New England,TI,Total interchange,-1037,megawatthours
2026-08-10T09,MIDA,Mid-Atlantic,D,Demand,97213,megawatthours
2026-08-10T09,MIDA,Mid-Atlantic,DF,Day-ahead demand forecast,96141,megawatthours
2026-08-10T09,MIDA,Mid-Atlantic,NG,Net generation,102704,megawatthours
2026-08-10T09,MIDA,Mid-Atlantic,TI,Total interchange,33,megawatthours
2026-08-10T09,NE,New England,D,Demand,13709,megawatthours
2026-08-10T09,NE,New England,DF,Day-ahead demand forecast,12790,megawatthours
2026-08-10T09,NE,New England,NG,Net generation,12583,megawatthours
2026-08-10T09,NE,New England,TI,Total interchange,-1126,megawatthours
2026-08-10T08,MIDA,Mid-Atlantic,D,Demand,97688,megawatthours
2026-08-10T08,MIDA,Mid-Atlantic,DF,Day-ahead demand forecast,93615,megawatthours
2026-08-10T08,MIDA,Mid-Atlantic,NG,Net generation,103187,megawatthours
2026-08-10T08,MIDA,Mid-Atlantic,TI,Total interchange,-188,megawatthours
2026-08-10T08,NE,New England,D,Demand,13813,megawatthours
2026-08-10T08,NE,New England,DF,Day-ahead demand forecast,12880,megawatthours
2026-08-10T08,NE,New England,NG,Net generation,12787,megawatthours
2026-08-10T08,NE,New England,TI,Total interchange,-1026,megawatthours
2026-08-10T07,MIDA,Mid-Atlantic,D,Demand,100162,megawatthours
2026-08-10T07,MIDA,Mid-Atlantic,DF,Day-ahead demand forecast,94130,megawatthours
2026-08-10T07,MIDA,Mid-Atlantic,NG,Net generation,105700,megawatthours
2026-08-10T07,MIDA,Mid-Atlantic,TI,Total interchange,5095,megawatthours
2026-08-10T07,NE,New England,D,Demand,14221,megawatthours
2026-08-10T07,NE,New England,DF,Day-ahead demand forecast,13250,megawatthours
2026-08-10T07,NE,New England,NG,Net generation,13305,megawatthours
2026-08-10T07,NE,New England,TI,Total interchange,-916,megawatthours
2026-08-10T06,MIDA,Mid-Atlantic,D,Demand,103441,megawatthours
2026-08-10T06,MIDA,Mid-Atlantic,DF,Day-ahead demand forecast,96210,megawatthours
2026-08-10T06,MIDA,Mid-Atlantic,NG,Net generation,108969,megawatthours
2026-08-10T06,MIDA,Mid-Atlantic,TI,Total interchange,5998,megawatthours
2026-08-10T06,NE,New England,D,Demand,14743,megawatthours
2026-08-10T06,NE,New England,DF,Day-ahead demand forecast,13850,megawatthours
2026-08-10T06,NE,New England,NG,Net generation,13862,megawatthours
2026-08-10T06,NE,New England,TI,Total interchange,-881,megawatthours
2026-08-10T05,MIDA,Mid-Atlantic,D,Demand,107303,megawatthours
2026-08-10T05,MIDA,Mid-Atlantic,DF,Day-ahead demand forecast,99739,megawatthours
2026-08-10T05,MIDA,Mid-Atlantic,NG,Net generation,112848,megawatthours
2026-08-10T05,MIDA,Mid-Atlantic,TI,Total interchange,6215,megawatthours
2026-08-10T05,NE,New England,D,Demand,15025,megawatthours
2026-08-10T05,NE,New England,DF,Day-ahead demand forecast,14750,megawatthours
2026-08-10T05,NE,New England,NG,Net generation,14323,megawatthours
2026-08-10T05,NE,New England,TI,Total interchange,-702,megawatthours
2026-08-10T04,MIDA,Mid-Atlantic,D,Demand,112096,megawatthours
2026-08-10T04,MIDA,Mid-Atlantic,DF,Day-ahead demand forecast,104334,megawatthours
2026-08-10T04,MIDA,Mid-Atlantic,NG,Net generation,117693,megawatthours
2026-08-10T04,MIDA,Mid-Atlantic,TI,Total interchange,4039,megawatthours
2026-08-10T04,NE,New England,D,Demand,15970,megawatthours
2026-08-10T04,NE,New England,DF,Day-ahead demand forecast,16230,megawatthours
2026-08-10T04,NE,New England,NG,Net generation,15592,megawatthours
2026-08-10T04,NE,New England,TI,Total interchange,-378,megawatthours
2026-08-10T03,MIDA,Mid-Atlantic,D,Demand,117815,megawatthours
2026-08-10T03,MIDA,Mid-Atlantic,DF,Day-ahead demand forecast,111958,megawatthours
2026-08-10T03,MIDA,Mid-Atlantic,NG,Net generation,124114,megawatthours
2026-08-10T03,MIDA,Mid-Atlantic,TI,Total interchange,2397,megawatthours
2026-08-10T03,NE,New England,D,Demand,17495,megawatthours
2026-08-10T03,NE,New England,DF,Day-ahead demand forecast,17690,megawatthours
2026-08-10T03,NE,New England,NG,Net generation,17045,megawatthours
2026-08-10T03,NE,New England,TI,Total interchange,-450,megawatthours
2026-08-10T02,MIDA,Mid-Atlantic,D,Demand,125147,megawatthours
2026-08-10T02,MIDA,Mid-Atlantic,DF,Day-ahead demand forecast,119263,megawatthours
2026-08-10T02,MIDA,Mid-Atlantic,NG,Net generation,131611,megawatthours
2026-08-10T02,MIDA,Mid-Atlantic,TI,Total interchange,916,megawatthours
2026-08-10T02,NE,New England,D,Demand,19119,megawatthours
2026-08-10T02,NE,New England,DF,Day-ahead demand forecast,19200,megawatthours
2026-08-10T02,NE,New England,NG,Net generation,17977,megawatthours
2026-08-10T02,NE,New England,TI,Total interchange,-1142,megawatthours
2026-08-10T01,MIDA,Mid-Atlantic,D,Demand,130041,megawatthours
2026-08-10T01,MIDA,Mid-Atlantic,DF,Day-ahead demand forecast,126211,megawatthours
2026-08-10T01,MIDA,Mid-Atlantic,NG,Net generation,135877,megawatthours
2026-08-10T01,MIDA,Mid-Atlantic,TI,Total interchange,1125,megawatthours
2026-08-10T01,NE,New England,D,Demand,20343,megawatthours
2026-08-10T01,NE,New England,DF,Day-ahead demand forecast,20470,megawatthours
2026-08-10T01,NE,New England,NG,Net generation,18236,megawatthours
2026-08-10T01,NE,New England,TI,Total interchange,-2107,megawatthours
2026-08-10T00,MIDA,Mid-Atlantic,D,Demand,134696,megawatthours
2026-08-10T00,MIDA,Mid-Atlantic,DF,Day-ahead demand forecast,131006,megawatthours
2026-08-10T00,MIDA,Mid-Atlantic,NG,Net generation,138843,megawatthours
2026-08-10T00,MIDA,Mid-Atlantic,TI,Total interchange,1124,megawatthours
2026-08-10T00,NE,New England,D,Demand,21036,megawatthours
2026-08-10T00,NE,New England,DF,Day-ahead demand forecast,21730,megawatthours
2026-08-10T00,NE,New England,NG,Net generation,18747,megawatthours
2026-08-10T00,NE,New England,TI,Total interchange,-2289,megawatthours
2026-08-09T23,MIDA,Mid-Atlantic,D,Demand,138489,megawatthours
2026-08-09T23,MIDA,Mid-Atlantic,DF,Day-ahead demand forecast,135433,megawatthours
2026-08-09T23,MIDA,Mid-Atlantic,NG,Net generation,141162,megawatthours
2026-08-09T23,MIDA,Mid-Atlantic,TI,Total interchange,1699,megawatthours
2026-08-09T23,NE,New England,D,Demand,21485,megawatthours
2026-08-09T23,NE,New England,DF,Day-ahead demand forecast,22030,megawatthours
2026-08-09T23,NE,New England,NG,Net generation,19216,megawatthours
2026-08-09T23,NE,New England,TI,Total interchange,-2269,megawatthours
2026-08-09T22,MIDA,Mid-Atlantic,D,Demand,139124,megawatthours
2026-08-09T22,MIDA,Mid-Atlantic,DF,Day-ahead demand forecast,138856,megawatthours
2026-08-09T22,MIDA,Mid-Atlantic,NG,Net generation,141959,megawatthours
2026-08-09T22,MIDA,Mid-Atlantic,TI,Total interchange,2450,megawatthours
2026-08-09T22,NE,New England,D,Demand,20966,megawatthours
2026-08-09T22,NE,New England,DF,Day-ahead demand forecast,21410,megawatthours
2026-08-09T22,NE,New England,NG,Net generation,18992,megawatthours
2026-08-09T22,NE,New England,TI,Total interchange,-1974,megawatthours
2026-08-09T21,MIDA,Mid-Atlantic,D,Demand,136823,megawatthours
2026-08-09T21,MIDA,Mid-Atlantic,DF,Day-ahead demand forecast,140114,megawatthours
2026-08-09T21,MIDA,Mid-Atlantic,NG,Net generation,139612,megawatthours
2026-08-09T21,MIDA,Mid-Atlantic,TI,Total interchange,2379,megawatthours
2026-08-09T21,NE,New England,D,Demand,19748,megawatthours
2026-08-09T21,NE,New England,DF,Day-ahead demand forecast,19720,megawatthours
2026-08-09T21,NE,New England,NG,Net generation,18113,megawatthours
2026-08-09T21,NE,New England,TI,Total interchange,-1635,megawatthours
2026-08-09T20,MIDA,Mid-Atlantic,D,Demand,134224,megawatthours
2026-08-09T20,MIDA,Mid-Atlantic,DF,Day-ahead demand forecast,138240,megawatthours
2026-08-09T20,MIDA,Mid-Atlantic,NG,Net generation,137317,megawatthours
2026-08-09T20,MIDA,Mid-Atlantic,TI,Total interchange,2756,megawatthours
2026-08-09T20,NE,New England,D,Demand,18451,megawatthours
2026-08-09T20,NE,New England,DF,Day-ahead demand forecast,18520,megawatthours
2026-08-09T20,NE,New England,NG,Net generation,17614,megawatthours
2026-08-09T20,NE,New England,TI,Total interchange,-837,megawatthours
2026-08-09T19,MIDA,Mid-Atlantic,D,Demand,131876,megawatthours
2026-08-09T19,MIDA,Mid-Atlantic,DF,Day-ahead demand forecast,135327,megawatthours
2026-08-09T19,MIDA,Mid-Atlantic,NG,Net generation,135602,megawatthours
2026-08-09T19,MIDA,Mid-Atlantic,TI,Total interchange,2558,megawatthours
2026-08-09T19,NE,New England,D,Demand,17553,megawatthours
2026-08-09T19,NE,New England,DF,Day-ahead demand forecast,17590,megawatthours
2026-08-09T19,NE,New England,NG,Net generation,17300,megawatthours
2026-08-09T19,NE,New England,TI,Total interchange,-253,megawatthours
2026-08-09T18,MIDA,Mid-Atlantic,D,Demand,128164,megawatthours
2026-08-09T18,MIDA,Mid-Atlantic,DF,Day-ahead demand forecast,131410,megawatthours
2026-08-09T18,MIDA,Mid-Atlantic,NG,Net generation,131984,megawatthours
2026-08-09T18,MIDA,Mid-Atlantic,TI,Total interchange,2010,megawatthours
2026-08-09T18,NE,New England,D,Demand,16945,megawatthours
2026-08-09T18,NE,New England,DF,Day-ahead demand forecast,16990,megawatthours
2026-08-09T18,NE,New England,NG,Net generation,16804,megawatthours
2026-08-09T18,NE,New England,TI,Total interchange,-141,megawatthours
2026-08-09T17,MIDA,Mid-Atlantic,D,Demand,122685,megawatthours
2026-08-09T17,MIDA,Mid-Atlantic,DF,Day-ahead demand forecast,127085,megawatthours
2026-08-09T17,MIDA,Mid-Atlantic,NG,Net generation,126906,megawatthours
2026-08-09T17,MIDA,Mid-Atlantic,TI,Total interchange,1925,megawatthours
2026-08-09T17,NE,New England,D,Demand,16334,megawatthours
2026-08-09T17,NE,New England,DF,Day-ahead demand forecast,16370,megawatthours
2026-08-09T17,NE,New England,NG,Net generation,16073,megawatthours
2026-08-09T17,NE,New England,TI,Total interchange,-261,megawatthours
2026-08-09T16,MIDA,Mid-Atlantic,D,Demand,115837,megawatthours
2026-08-09T16,MIDA,Mid-Atlantic,DF,Day-ahead demand forecast,121484,megawatthours
2026-08-09T16,MIDA,Mid-Atlantic,NG,Net generation,119828,megawatthours
2026-08-09T16,MIDA,Mid-Atlantic,TI,Total interchange,1922,megawatthours
2026-08-09T16,NE,New England,D,Demand,15470,megawatthours
2026-08-09T16,NE,New England,DF,Day-ahead demand forecast,15490,megawatthours
2026-08-09T16,NE,New England,NG,Net generation,15349,megawatthours
2026-08-09T16,NE,New England,TI,Total interchange,-121,megawatthours
2026-08-09T15,MIDA,Mid-Atlantic,D,Demand,110290,megawatthours
2026-08-09T15,MIDA,Mid-Atlantic,DF,Day-ahead demand forecast,114729,megawatthours
2026-08-09T15,MIDA,Mid-Atlantic,NG,Net generation,113763,megawatthours
2026-08-09T15,MIDA,Mid-Atlantic,TI,Total interchange,2491,megawatthours
2026-08-09T15,NE,New England,D,Demand,14704,megawatthours
2026-08-09T15,NE,New England,DF,Day-ahead demand forecast,14630,megawatthours
2026-08-09T15,NE,New England,NG,Net generation,14598,megawatthours
2026-08-09T15,NE,New England,TI,Total interchange,-106,megawatthours
2026-08-09T14,MIDA,Mid-Atlantic,D,Demand,104850,megawatthours
2026-08-09T14,MIDA,Mid-Atlantic,DF,Day-ahead demand forecast,107701,megawatthours
2026-08-09T14,MIDA,Mid-Atlantic,NG,Net generation,108279,megawatthours
2026-08-09T14,MIDA,Mid-Atlantic,TI,Total interchange,3152,megawatthours
2026-08-09T14,NE,New England,D,Demand,14847,megawatthours
2026-08-09T14,NE,New England,DF,Day-ahead demand forecast,14160,megawatthours
2026-08-09T14,NE,New England,NG,Net generation,14527,megawatthours
2026-08-09T14,NE,New England,TI,Total interchange,-320,megawatthours
2026-08-09T13,MIDA,Mid-Atlantic,D,Demand,97807,megawatthours
2026-08-09T13,MIDA,Mid-Atlantic,DF,Day-ahead demand forecast,100730,megawatthours
2026-08-09T13,MIDA,Mid-Atlantic,NG,Net generation,101194,megawatthours
2026-08-09T13,MIDA,Mid-Atlantic,TI,Total interchange,3355,megawatthours
2026-08-09T13,NE,New England,D,Demand,14665,megawatthours
2026-08-09T13,NE,New England,DF,Day-ahead demand forecast,13860,megawatthours
2026-08-09T13,NE,New England,NG,Net generation,13985,megawatthours
2026-08-09T13,NE,New England,TI,Total interchange,-680,megawatthours
2026-08-09T12,MIDA,Mid-Atlantic,D,Demand,92917,megawatthours
2026-08-09T12,MIDA,Mid-Atlantic,DF,Day-ahead demand forecast,94133,megawatthours
2026-08-09T12,MIDA,Mid-Atlantic,NG,Net generation,96906,megawatthours
2026-08-09T12,MIDA,Mid-Atlantic,TI,Total interchange,3245,megawatthours
2026-08-09T12,NE,New England,D,Demand,14423,megawatthours
2026-08-09T12,NE,New England,DF,Day-ahead demand forecast,13620,megawatthours
2026-08-09T12,NE,New England,NG,Net generation,13767,megawatthours
2026-08-09T12,NE,New England,TI,Total interchange,-656,megawatthours
2026-08-09T11,MIDA,Mid-Atlantic,D,Demand,91421,megawatthours
2026-08-09T11,MIDA,Mid-Atlantic,DF,Day-ahead demand forecast,89008,megawatthours
2026-08-09T11,MIDA,Mid-Atlantic,NG,Net generation,96095,megawatthours
2026-08-09T11,MIDA,Mid-Atlantic,TI,Total interchange,2984,megawatthours
2026-08-09T11,NE,New England,D,Demand,14149,megawatthours
2026-08-09T11,NE,New England,DF,Day-ahead demand forecast,13320,megawatthours
2026-08-09T11,NE,New England,NG,Net generation,13423,megawatthours
2026-08-09T11,NE,New England,TI,Total interchange,-726,megawatthours
2026-08-09T10,MIDA,Mid-Atlantic,D,Demand,91624,megawatthours
2026-08-09T10,MIDA,Mid-Atlantic,DF,Day-ahead demand forecast,86997,megawatthours
2026-08-09T10,MIDA,Mid-Atlantic,NG,Net generation,96464,megawatthours
2026-08-09T10,MIDA,Mid-Atlantic,TI,Total interchange,3100,megawatthours
2026-08-09T10,NE,New England,D,Demand,13942,megawatthours
2026-08-09T10,NE,New England,DF,Day-ahead demand forecast,13300,megawatthours
2026-08-09T10,NE,New England,NG,Net generation,13333,megawatthours
2026-08-09T10,NE,New England,TI,Total interchange,-609,megawatthours
2026-08-09T09,MIDA,Mid-Atlantic,D,Demand,92358,megawatthours
2026-08-09T09,MIDA,Mid-Atlantic,DF,Day-ahead demand forecast,87303,megawatthours
2026-08-09T09,MIDA,Mid-Atlantic,NG,Net generation,97223,megawatthours
2026-08-09T09,MIDA,Mid-Atlantic,TI,Total interchange,2197,megawatthours
2026-08-09T09,NE,New England,D,Demand,13921,megawatthours
2026-08-09T09,NE,New England,DF,Day-ahead demand forecast,13360,megawatthours
2026-08-09T09,NE,New England,NG,Net generation,13198,megawatthours
2026-08-09T09,NE,New England,TI,Total interchange,-723,megawatthours
2026-08-09T08,MIDA,Mid-Atlantic,D,Demand,94428,megawatthours
2026-08-09T08,MIDA,Mid-Atlantic,DF,Day-ahead demand forecast,88045,megawatthours
2026-08-09T08,MIDA,Mid-Atlantic,NG,Net generation,99001,megawatthours
2026-08-09T08,MIDA,Mid-Atlantic,TI,Total interchange,2886,megawatthours
2026-08-09T08,NE,New England,D,Demand,14214,megawatthours
