week_ending,commodity,imports_total_kbd,imports_canada_kbd,imports_latin_america_kbd,imports_europe_kbd,imports_asia_kbd,imports_middle_east_kbd,imports_africa_kbd,imports_other_kbd,exports_total_kbd,exports_canada_kbd,exports_latin_america_kbd,exports_europe_kbd,exports_asia_kbd,exports_middle_east_kbd,exports_africa_kbd,exports_other_kbd,net_imports_kbd,net_exports_kbd
2018-09-07,diesel,50.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,1418.0,0.0,0.0,0.0,0.0,0.0,0.0,1418.0,-1368.0,1368.0
2018-09-14,diesel,141.0,0.0,0.0,0.0,0.0,0.0,0.0,141.0,1326.0,0.0,0.0,0.0,0.0,0.0,0.0,1326.0,-1185.0,1185.0
2018-09-21,diesel,124.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,1148.0,0.0,0.0,0.0,0.0,0.0,0.0,1148.0,-1024.0,1024.0
2018-09-28,diesel,162.0,0.0,0.0,0.0,0.0,0.0,0.0,162.0,1564.0,0.0,0.0,0.0,0.0,0.0,0.0,1564.0,-1402.0,1402.0
2018-10-05,diesel,187.0,0.0,0.0,0.0,0.0,0.0,0.0,187.0,967.0,0.0,0.0,0.0,0.0,0.0,0.0,967.0,-780.0,780.0
2018-10-12,diesel,165.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0,1305.0,0.0,0.0,0.0,0.0,0.0,0.0,1305.0,-1140.0,1140.0
2018-10-19,diesel,163.0,0.0,0.0,0.0,0.0,0.0,0.0,163.0,1440.0,0.0,0.0,0.0,0.0,0.0,0.0,1440.0,-1277.0,1277.0
2018-10-26,diesel,141.0,0.0,0.0,0.0,0.0,0.0,0.0,141.0,1277.0,0.0,0.0,0.0,0.0,0.0,0.0,1277.0,-1136.0,1136.0
2018-11-02,diesel,166.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,1306.0,0.0,0.0,0.0,0.0,0.0,0.0,1306.0,-1140.0,1140.0
2018-11-09,diesel,305.0,0.0,0.0,0.0,0.0,0.0,0.0,305.0,1178.0,0.0,0.0,0.0,0.0,0.0,0.0,1178.0,-873.0,873.0
2018-11-16,diesel,104.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,1046.0,0.0,0.0,0.0,0.0,0.0,0.0,1046.0,-942.0,942.0
2018-11-23,diesel,186.0,0.0,0.0,0.0,0.0,0.0,0.0,186.0,1715.0,0.0,0.0,0.0,0.0,0.0,0.0,1715.0,-1529.0,1529.0
2018-11-30,diesel,436.0,0.0,0.0,0.0,0.0,0.0,0.0,436.0,1426.0,0.0,0.0,0.0,0.0,0.0,0.0,1426.0,-990.0,990.0
2018-12-07,diesel,144.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,1431.0,0.0,0.0,0.0,0.0,0.0,0.0,1431.0,-1287.0,1287.0
